Összeállítás,Szerelvénysz.,Hétfő,Kedd-Csütörtök,Péntek,Szombat,Vasárnap,Hétfő
"3Bp (29-05)1 BDbh",6301-,9229 - 39514  - Ir - 39515 - 9218,9239 - 39522 - Ir - 39527 - 39524  - Ir - 39525 - 39526 - Ir - 39523 - 9248,9229 -  39514  - Ir - 39515 - 9218,9239 - 39522 - Ir - 39527 - 39524  - Ir - 39525 - 39526 - Ir - 39523 - 9248,9229 - 9218,9239 - ...
"",-6302,9239 - 39522 - Ir - 39527 - 39524  - Ir - 39525 - 39526 - Ir - 39523 - 9248,9229 - 39514  - Ir - 39515 - 9218,9239 - 39522 - Ir - 39527 - 39524  - Ir - 39525 - 39526 - Ir - 39523 - 9248,9229 -  39514  - Ir - 39515 - 9218,9239 - 39522 - Ir - 39527 - 39524  - Ir - 39525 - 39526 - Ir - 39523 - 9248,9229 - ...
"2Bp (29-05)1 BDbh",6303-,9512- 9515 - 9044 - 9033,9540 - 9517 - 9524 - 9523 - 9518,9525 - 9036 - 9063 - 9048,19607 - 19606,19607 - 19606 - 9021<4>Ce-ig! Lezárva!,9512 - ...
"",- 04-,9540 - 9517 - 9524 - 9523 - 9518,9525 - 9036 - 9063,Tartalék (Ce),Tartalék (Ce),Tartalék (Ce) - 9518,9525 - ...
"",-05-,9525 - 9036 - 9063,Tartalék (Ce),9512- 9515 - 9044 - 9033,9540 - 9517 - 9518,9515 - 9516 - 9511,9540 - ...
"",-6306,Tartalék (Ce),9512- 9515 - 9044 - 9033,9540 - 9517 - 9524 - 9523 - 9518,9515 - 9516 - 9511,9540 - 9517,Tartalék (Ce)
1 Bzmot,6311-,39549e - 9212e - ÜV - 9221e,"29929(Gv-Km) - Km-tól!32919 - 32912 - 32927 - 32914 - 32925 - 32916 - 32913 - 32936 - 32911 -32928Km-ig! - ÜV(Km)",Km-tól!32917 - 32922 - 34912 - 32926 - 32923 - 32918Km-ig! -  ÜV(Km) - 29928(Km-Gv),9210e - 9227e - 9214e - ÜV - Karbantartás - 9261,31910 - 31917 - 31912 - 31927 - 31914 - 31915 - 31924 - 31913 - 31916 - 31911,9260 - ...
"",-12-,"29929(Gv-Km) - Km-tól!32919 - 32912 - 32927 - 32914 - 32925 - 32916 - 32913 - 32936 - 32911 -32928Km-ig! - ÜV(Km)",Km-tól!32917 - 32922 - 34912 - 32926 - 32923 - 32918Km-ig! -  ÜV(Km) - 29928(Km-Gv),9210e - 9227e - 9214e - ÜV - Karbantartás - 9261,31910 - 31917 - 31912 - 31927 - 31914 - 31915 - 31924 - 31913,9260 - 9217e - Tartalék (Gv),39510 - Ir - 39579(Ir-Bl)
"",-13-,Km-tól!32917 - 32922 - 34912 - 32926 - 32923 - 32918Km-ig! -  ÜV(Km) - 29928(Km-Gv),9210e - 9227e - 9214e - ÜV - Karbantartás - 9261,31910 - 31917 - 31912 - 31927 - 31914 - 31915 - 31924 - 31913 - 31916 - 31911,9260 - ÜV -  9217e - Tartalék (Gv),39510 - Ir - 39517<4> - 39546 - 39553 - 39558v,39549e - ...
"",-14-,9210e - 9227e - 9214e - ÜV - Karbantartás - 9261,31910 - 31917 - 31912 - 31927 - 31914 - 31915 - 31924 - 31913,9260 - 9217e - 9236e - ÜV - 9211k LEZÁRVA!!!,39510 - Ir - 39517<4> - 39546 - 39553,9212e - ÜV - 9221e,29229(Gv-Km) - 32919 -...
"",-15-,31910 - 31917 - 31912 - 31927 - 31914 - 31915 - 31924 - 31913,9260 - 9217e - 9236e - ÜV - 9211k LEZÁRVA!!!,39510 - Ir - 39579(Ir-Bl) - 39557 - 39546e - 39553e - 39566e,39549e - 9212e - ÜV - 9221e,29929(Gv-Km) - Km-tól!32957 - 32914 - 32925 - 32956 - 32951 - 32928Km-ig! - ÜV(Km),Km-tól!32917 -...
"",-16-,9260 - ÜV - 9217e - 9236e - ÜV - 9211k LEZÁRVA!!!,39510 - Ir - 39579(Ir-Bl) - 39557 - 39546e - 39553e - 39566e,39549e - 9212e - ÜV - 9221e,29929(Gv-Km) - Km-tól!32957 - 32914 - 32925 - 32956 - 32951 - 32928Km-ig! - ÜV(Km),Km-tól!32917 - 32922 - 34912 - 32926 - 32923 - 32918Km-ig! -  ÜV(Km) - 29928(Km-Gv),9210e - ...
"",-17-,39510 - Ir - 39579(Ir-Bl) - 39557 - 39546e - 39553e - 39566e,39549e - 9212e - ÜV - 9221e,"29929(Gv-Km) - Km-tól!32919 - 32912 - 32927 - 32914 - 32925 - 32916 - 32913 - 32936 - 32911 -32928Km-ig! - ÜV(Km)",Km-tól!32917 - 32922 - 34912 - 32926 - 32923 - 32918Km-ig! -  ÜV(Km) - 29928(Km-Gv),9210e - 9227e - 9214e - ÜV - Karbantartás - 9261,31910-...
1 Bzx,6321-,39549v - 9212v,9217v - 9236k - 9211v LEZÁRVA!!!,39546v - 39553v - 39566v,39549v - 9212v,9217v - Tartalék (Gv) - 39558k,39549v - ...
"",-22-,9217v - 9236k - 9211v LEZÁRVA!!!,39546v - 39553v - 39566v,39549v - 9212v,9217v - Tartalék (Gv),Tartalék (Gv),39546v - ...
"",6323,39546v - 39553v - 39566v,39549v - 9212v,9217v - 9236k - 9211v LEZÁRVA!!!,Tartalék (Gv),9212v,9217v - ...
1 Bzx,6324,9217k - 9236v,9217k - 9236v,9217k - 9236v,Tartalék (Ce),Tartalék (Ce),9217k - ...
1 Bzx,6325,9210v - 9227v - 9214v - 9221v,9210v - 9227v - 9214v - 9221v,9210v - 9227v - 9214v - 9221v,9210v - 9227v - 9214v - 9221v,9210v - 9227v - 9214v - 9221v,9210v - ...
