?ssze?ll?t?s,Szerelv?nysz.,H?tf?,Kedd-cs?t?rt?k,p?ntek,Szombat,vas?rnap,H?tf?
1 Bvpmot (415),1331,4110v-Karbantart(5.1)-(Ab)4215e-4616e-4623v-4636e-4643v-4618-4621-4228e(Ab)-4228-4241,4570-4519-4520-9712-9727-9714-9725-9716-9723-9718-9721-9758,9729-3519-3522-8722-8715-3525-3834-3813-3526-8726-8711-3521-3838-4711-4958,4909-4912v-4937e-4924v-4913e-4936v-4921e,4810-4819v-4920e-4927v-4914e-4945v-4926k-4911v-4938e,4919v-...
1 Bvpmot (415),1332,4570v-4519-4520-9712-9727-9714-9725-9716-9723-9718-9721-9758,9729-3519-3522-8722-8715-3525-3834-3813-3526-8726-8711-3521-3838-4711,4620e-24610-3817-3592-20941e-20437-9304-4921e,Tartal?k,Tartal?k,4110k-...
1 Bvpmot (415),1333,9729-3519-3522-8722-8715-3525-3834-3813-3526-8726-8711-3521-3838-4711,4620e-24610-3817-3592-20941e-20437-9308-4951e,14420v/e-3512-3537-3842-3825-3534-3513-3826-3843-3518-3531-3598-20942,Tartal?k,4934e-1935-20345e/v-4238e,4229v-...
1 Bvpmot (415),1334,4620e-24610-3817-3592-20941e-20437-9308-4951e,14420v/e-3512-3537-3842-3825-3534-3513-3826-3843-3518-3531-3598-20942,"24720-4667-24612-4677(Kl)-(Kl)4677v-4632-4647-4614-4625-4634-4645-4616v-4623e-4636v-4643e-4218-4231",4570-4519v-20460-3860-3877-3532-3515-3874-3895-3516-3533-3896-3871-3538-9758,9739-3517-3872-3897-3514-3535-3894-3873-3536-3511-3878-4691,4570v-...
1 Bvpmot (415),1335,14420v/e-3512-3537-3842-3825-3534-3513-3826-3843-3518-3531-3598-20942,"24720-4667-24612-4677(Kl)-(Kl)4677v-4632-4647-4614-4625-4634-4645-4616v-4623e-4636v-4643e-4218-4231(Ab)-(Ab)4231v",14420e/v-3810e-3827v-3532e-4515v-4276-4233(Ab)-(Ab)4233v-4918e-9448,29430-9429-4987(Bn)-(Bn)4987v-4942e-4935v-4916e-4943v-4928e-4951v,"4110-24010-8030-8037-(Ab)4237e-4214v(Ab)-(Ab)4214-4225(Ab)-(Ab)4225v-4226-4243(Ab)-(Ab)4243v-4228k(Ab)-8028e",8027...
1 Bvpmot (415),1336,"24720-4667-24612-4677(Kl)-(Kl)4677v-4632-4647-4614-4625-4634-4645-4616v-4623e-4636v-4643e-4218-4231(Ab)-(Ab)4231v",14420e/v-3810e-3827v-3532e-4515v-4276-4233(Ab)-(Ab)4233v-4918e,"4919v-4612e-4627v-4232e(Ab)-(Ab)4232-4215(Ab)-(Ab)4215v-4134-Karbantart(3.4)-(Ab)4211e-4228v(Ab)-8028",8029-(Ab)4219e-4212v(Ab)-8032-8035-(Ab)4215e-4216v(Ab)-8046-8031-4121v-8738,8729-4420-4447-4414-4435-4416-4433-4418-34411e,4417e...
1 Bvpmot (415),1337,14420e/v-3810e-3827v-3532e-4515v-4276-4233(Ab)-(Ab)4233v-4918e,"4919v-4612e-4627v-4232e(Ab)-(Ab)4232-4215(Ab)-(Ab)4215v-4134-Karbantart(3.4)-(Ab)4211e-4228v(Ab)-8028v",8029-(Ab)4219e-4310v-4317-20941-9058-9061e,4539e-4512v-4527e-4542v-4515e-4534v-4545e-4526v-4533e-4518v-4521e-4548v,4539e-4512v-4527e-4542v-4515e-4534v-4545e-4526v-4533e-4518v-4521e-4548v,9720-...
1 Bvpmot (415),1338,4919v-4612e-4627v-4232e(Ab)-(Ab)4232-4215(Ab)-(Ab)4215v-4134-Karbantart(3.4)-(Ab)4211e-,8029-(Ab)4219e-4310v-4317-20941-9058,9057-9066-9061v,4539v-4512e-4527v-4542e-4515v-4534e-4545v-4526e-4533v-4518e-4521v-4548e,4539v-4512e-4527v-4542e-4515v-4534e-4545v-4526e-4533v-4518e-4521v-4548k,4539e...
1 Bvpmot (415),1339,8029-(Ab)4219e-4310v-4317-20941-9058,9057-9066-9061,4529v-4610e-4617v-4622-4637-4642-4615-4624-4635-4644-4613-4626v-4633e-4646v-4611e-4118,24010e-8030k-8052v-28124v-28125e-8067-8054-8065-8056-8063-8058-8061,18050-8057-8062-8055-8064-8063v-8031v(lez?rva)-4121v(Lez?rva)-8738,8729-...
1 Bvpmot (415),1340,29010-9057-9066-9061,"4529v-4610e-4617v-4622-4637-4642-4615-4624-4635-4644-4613-4626v-4633e-4646v-4611e-4338-4341-4568","4539e-4410v(Bi)-4837-24424-4847-20940e-4214v-Karbantart(3.3)-(Ab)4223e-4208-4221(Ab)-(Ab)4221v",4210e-8040e-8222-8205-8236-8201-18208,18210-8207-8214-8213-8041v,4810e...
1 Bvpmot (415),1341,"4570e-4529v-4610e-4617v-4622-4637-4642-4615-4624-4635-4644-4613-4626v-4633e-4646v-4611e-4338-4341-4568","4539e-4410v(Bi)-4837-24424-4847-20940e-4214v-Karbantart(3.3)-(Ab)4223e-4208-4221(Ab)-(Ab)4221v-4238e",4229v-4312-4337-20940v-4214e(Ab)-(Ab)4214-4225-4286-4243(Ab)-(Ab)4243v-4928e-4951k,4110-24010v-8030v-8037-(Ab)4237e-4236e(Ab)-(Ab)4236-4211-4228e(Ab)-(Ab)4228-4241,20460-3860-3877-3532-3515-3874-3895-3516-3533-3896-3871-3538-4541,4210v...
1 Bvpmot (415),1342,4539e-4410v(Bi)-4837-24424-4847-20940e-4214v-Karbantart(3.3)-(Ab)4223e-4208-4221(Ab)-,4229v-4312-4337-20940v-4214e(Ab)-(Ab)4214-4225-4286-4243(Ab)-(Ab)4243v-4118-(Ab)4231e,14420k-3810v-3827e-3532v-3515-3824-3845-3516-3533-3846-3821-3538,8720-8717-3547-3864-3885-3544-8716-8723-3543-3868-3881,3510-3527-3882-3865-3524-8724-8713-3523-3886-3861-3528,8720-...
1 Bvpmot (415),1343,4229v-4312-4337-20940v-4214e(Ab)-(Ab)4214-4225-4286-4243(Ab)-(Ab)4243v-4118-(Ab)4231e,14420k-3810v-3827e-3532v-3515-3824-3845-3516-3533-3846-3821-3538,4539v-4410e(Bi)-(Bi)4410-4437-4432-4425-4444-4423-4446-34473,34452-34427-(Bn)4987e-4987e-4942v-4935e-4916v-4943e-4928v-4951k,4210e(Ab)-8040-8047-(Ab)4257e-4224v(Ab)-8036-8043-(Ab)4243e-4228v(Ab)-8028v,8029-...
1 Bvpmot (415),1344,14420k-3810v-3827e-3532v-3515-3824-3845-3516-3533-3846-3821-3538,4539v-4410e(Bi)-(Bi)4410-4437-4432-4425-4444-4423-4446-34473,34412-34427-(Bn)4917v-4932e-4925v-4944e-4933v-4028e(Ab)-(Ab)4028,8030e-8052e-28124e-28125v-8055-8064-8053-8066-8051-8068-18091-28022,8059-8052-8067-8054-8065-8056-8063e-8031k-4121k-4128,4250...
1 Bvpmot (415),1345,4539v-4410e(Bi)-(Bi)4410-4437-4432-4425-4444-4423-4446-34473,34412-34427-(Bn)4917v-4932e-4925v-4944e-4933v-4028e(Ab)-(Ab)4028,8030-8037-(Ab)4237e-4942v-4935e-4916v-4943e-8018v,18019-(Ab)4239e-4412-4457-4424-4445-4426-4411-4428-34421,34450-34457-(Bn)4989e-4932v-4925e-4944v-4933e-4918v,4917(Bn)...
1 Bvpmot (415),1346,34412-34427-(Bn)4917v-4932e-4925v-4944e-4933v-4028e(Ab)-(Ab)4028,8030-8037-(Ab)4237e-4942v-4935e-4916v-4943e-4928v-4951k,4810v-4819e-4920v-4927e-4914v-4945e-4926v-4911e-4428v-34421e,34450-34457-(Bn)4989e-4932v-4925e-4944v-4933e-4918v-4951e,4210v(Ab)-(Ab)4210-4227-4232e(Ab)-(Ab)4232-4215(Ab)-(Ab)4215v-4234-4223(Ab)-(Ab)4223v-4146,4119...
1 Bvpmot (415),1347,4110e-24010-8030-8037-(Ab)4237e-4942v-4935e-4916v-4943e-4928v-4951k,4810v-4819e-4920v-4927e-4914v-4945e-4926v-4911e-4428v-34421e,4417e-4222v(Ab)-Karbantart(3.2)-4125v-4116e-8046-8031-(Ab)4221k,4210k(Ab)-8040v-8047-(Ab)4257e-4224v(Ab)-8036-8043-(Ab)4243e-4228v(Ab)-8028,8029-(Ab)4219e-4212v(Ab)-8032-8035-(Ab)4215e-4216v(Ab)-8046-8031e-4121e,4210e...
1 Bvpmot (415),1348,4810v-4819e-4920v-4927e-4914v-4945e-4926v-4911e-4428v-34421e,4417e-4222v(Ab)-Karbantart(3.2)-4125v-4116e-8046-8031-(Ab)4221k-4238k,4229e-4212v(Ab)-8032-8035-4215k-4206-4223(Ab)-(Ab)4223v-4946e-4931v-4238e,"4229-4212e(Ab)-(Ab)4212-4257(Ab)-(Ab)4257v-4114-4125-4216e(Ab)-(Ab)4216-4233-4218e(Ab)-(Ab)4218-4231(Ab)-(Ab)4231v-4238e",4229-4212e(Ab)-(Ab)4212-4257(Ab)-(Ab)4257v-4114-4125-4216e(Ab)-(Ab)4216-4233-4218-4231,4570k...
1 Bvpmot (415),1349,4417e-4222v(Ab)-Karbantart(3.2)-4125v-4116e-8046-8031-(Ab)4221k-4238k,4229e-4212v(Ab)-8032-8035-4215k-4206-4223(Ab)-(Ab)4223v-4946e-4931v-4948e,4917(Bn)-(Bn)4917e-4932v-4925e-4944v-4933e-4028v(Ab)-(Ab)4221e,"4210v(Ab)-(Ab)4210-4227-4232e(Ab)-(Ab)4232-4215(Ab)-(Ab)4215v-4234-4223(Ab)-(Ab)4223v-4146-4121e-4128",4250-4239(Ab)-(Ab)4239v-4122-4147-4214e(Ab)-18044-18045-(Ab)4225e-4236v(Ab)-8038-8041e,4810v-...
