11. Budapest Keleti - 2022.07.11-tól,,,,,,,
Összeállítás,Szerelvénysz.,Hétfő,Kedd-Csütörtök,Péntek,Szombat,Vasárnap,Hétfő
"1 Bbdpmz (84-91), 2 Bpmz (20-91.1), 1 Bmz (21-91.1), 1 Amz (19-91.1)",1101,141 - 144 - 149e - Su - 149-2v,140-1e - Su - 140v - 145 - 148 - 341,Karb. - 142 - 147 - 340,533 - 632,141 - 144 - 149e - Su - 149-2v,140-1e - ...
"1 Bbdpmz (84-91), 2 Bpmz (20-91.1), 1 Bmz (21-91.1), 1 Amz (19-91.1)",1102,140-1e - Su - 140v - 145 - 148 - 341,Karb. - 142 - 147 - 340,533 - 632,141 - 144 - 149e - Su - 149-2v,140-1e - Su - 140v - 145 - 148 - 341,Karb. - 142 - ...
"1 Bbdpmz (84-91), 2 Bpmz (20-91.1), 1 Bmz (21-91.1), 1 Amz (19-91.1)",1103,Karb. - 142 - 147 - 340,533 - 632,141 - 144 - 149e - Su - 149-2v,140-1e - Su - 140v - 145 - 148 - 341,Karb. - 142 - 147 - 340,533 - ...
"1 Bbdpmz (84-91), 2 Bpmz (20-91.1), 1 Bmz (21-91.1), 1 Amz (19-91.1)",1104,533 - 632,141 - 144 - 149e - Su - 149-2v,140-1e - Su - 140v - 145 - 148 - 341,Karb. - 142 - 147 - 340,533 - 632,141 - ...
2 Bmz (21-91.3),1105,Karb. - 346<1> - EC 143v -Su- EC 143-2e Pl!- EC 686e -É!- EC 686,EC 687 -É!- EC 687v Pl!-  EC 146-1v -Su- EC 146e - 347<2>,Karb. - 346<1> - EC 143v -Su- EC 143-2e Pl!- EC 686e -É!- EC 686,EC 687 -É!- EC 687v Pl!-  EC 146-1v -Su- EC 146e - 347<2>,Karb. - 346<1> - EC 143v -Su- EC 143-2e Pl!- EC 686e -É!- EC 686,EC 687 -É!- EC 687v Pl!- ...
2 Bmz (21-91.3),1106,EC 687 -É!- EC 687v Pl!-  EC 146-1v -Su- EC 146e - 347<2>,Karb. - 346<1> - EC 143v -Su- EC 143-2e Pl!- EC 686e -É!- EC 686,EC 687 -É!- EC 687v Pl!-  EC 146-1v -Su- EC 146e - 347<2>,Karb. - 346<1> - EC 143v -Su- EC 143-2e Pl!- EC 686e -É!- EC 686,EC 687 -É!- EC 687v Pl!-  EC 146-1v -Su- EC 146e - 347<2>,Karb. - 346<1> - EC 143v -...
1 Amz (19-91.3),1107,Karb. - 346<2> - EC 143k -Su- EC 143-2k Pl!- EC 686k -É!- 12143v,12146e -É!- EC 687k Pl!- EC 146-1k -Su- EC 146k - 347<1>,Karb. - 346<2> - EC 143k -Su- EC 143-2k Pl!- EC 686k -É!- 12143v,12146e -É!- EC 687k Pl!- EC 146-1k -Su- EC 146k - 347<1>,Karb. - 346<2> - EC 143k -Su- EC 143-2k Pl!- EC 686k -É!- 12143v,12146e -É!- EC 687k Pl!- ...
1 Amz (19-91.3),1108,12146e -É!- EC 687k Pl!- EC 146-1k -Su- EC 146k - 347<1>,Karb. - 346<2> - EC 143k -Su- EC 143-2k Pl!- EC 686k -É!- 12143v,12146e -É!- EC 687k Pl!- EC 146-1k -Su- EC 146k - 347<1>,Karb. - 346<2> - EC 143k -Su- EC 143-2k Pl!- EC 686k -É!- 12143v,12146e -É!- EC 687k Pl!- EC 146-1k -Su- EC 146k - 347<1>,Karb. - 346<2> - EC 143k -...
"3 Bmz (21-91.3), 1 WRmz (88-91), 1 Bcmz (50-91.2), 1 WLABmz (71-91.0)",1113,12406-1 - Karb. - 12407-2,Brassó,12406-1 - Karb. - 12407-2,Brassó,12406-1 - Karb. - 12407-2,Brassó
"3 Bmz (21-91.3), 1 WRmz (88-91), 1 Bcmz (50-91.2), 1 WLABmz (71-91.0)",1114,Brassó,12406-1 - Karb. - 12407-2,Brassó,12406-1 - Karb. - 12407-2,Brassó,12406-1 - ...
2 Bmz (21-91.3),1117,75-2e - Lk - 75,74 - Lk - 74-1v - Karb.,75-2e - Lk - 75,74 - Lk - 74-1v - Karb.,75-2e - Lk - 75,74 - ...
2 Bmz (21-91.3),1118,74 - Lk - 74-1v - Karb.,75-2e - Lk - 75,74 - Lk - 74-1v - Karb.,75-2e - Lk - 75,74 - Lk - 74-1v - Karb.,75-2e - ...
"1 Apmz (10-91), 1 Amz (19-91.1), 1 WRmz (88-91), 1 Bmz (21-91.1), 1 Bpmz (20-91.1), 3 Bpmz (20-91.4), 1 Bbdpmz (84-91)",1120,20320 - 280 - 172,173 - 281 - 20239 - Karb.,20320 - 280 - 172,173 - 281 - 20239 - Karb.,20320 - 280 - 172,173 - 281 - 20239 - Karb.
"1 Apmz (10-91), 1 Amz (19-91.1), 1 WRmz (88-91), 1 Bmz (21-91.1), 1 Bpmz (20-91.1), 3 Bpmz (20-91.4), 1 Bbdpmz (84-91)",1121,173 - 281 - 20239 - Karb.,20320 - 280 - 172,173 - 281 - 20239 - Karb.,20320 - 280 - 172,173 - 281 - 20239 - Karb.,20320 - 280 -  ...
