Összeállítás,Szerelvénysz.,Hétfő,Kedd,Szerda,Csütörtök,Péntek,Szombat,Vasárnap,Hétfő
4Bhv,31401,S26011v (Db-Sl) - 6120 - 6199 - 6194 - 6193 - 6098,karb. - KM - T3 - 6015 - 6226 - 6221e - Db-től 6221 (Sl),2649e - 6192 - 6195 - 6108,6129 - Pv tárol - 6136 (Ni) - 6121v,6009 - 6102 - 6105 - 6198,6109 - 6104 - 6103 - 6008,S26011v (Db-Sl) - (ksz. 24.25.26.27) IC682v - IC564e - IC608v,6129
4Bhv,31402,karb. - KM - T3 - 6015 - 6226 - 6221e - Db-től 6221 (Sl),2649e - 6192 - 6195 - 6108,6129 - Pv tárol - 6136 (Ni) - 6121v,6009 - 6102 - 6105 - 6198,6109 - 6104 - 6103 - 6008,S26011 (Db-Sl) - 2649 - Pv tárol - 6018,6009 - 6102 - 6105 - 6198,6109
4Bhv,31403,S26011e (Db-Sl) - 2649e - 6192 - 6195 - 6108,6129 - Pv tárol - 6136 (Ni) - 6121v,6009 - 6102 - 6105 - 6198,6109 - 6104 - 6103 - 6008,karb. - KM - T3 - 6234 - 6223 - 6206,6209 - 6240 - 6205 - 6212 - 6203 (Ni),6195e - 6108v Db-ig,karb. - 6015
4Bhv,31404,6129 - Pv tárol - 6136 (Ni) - 6121k,6009 - 6102 - 6105 - 6198,6109 - 6104 - 6103 - 6008,karb. - KM - T3 - 6234 - 6223 - 6206,6209 - 6240 - 6205 - 6212 - 6203 (Pl),6130 - 6230v - 6227 - 6202,6219 (Ni) - 6220 - 6207 - 6260v - 6295 (Ni) - (Ni) 6226 - 6221 (Db),6009
4Bhv,31405,6102e - Db-től 6102 - 6105 - 6198,6109 - 6104 - 6103 - 6008,karb. - KM - T3 - 6234 - 6223 - 6206,6209 - 6240 - 6205 - 6212 - 6203 (Pl),6130 - 6230v - 6227 - 6202 - 6225 (Pl) - 6246 - 6221v - Ni-től 6221k Db-ig,karb. - KM - T3 - S26112 (Db-Ni),6260e - (Ksz.15-12) IC33v - 6008,S26011e (Db-Sl) - 2649e
4Bhv,31406,6109 - 6104 - 6103 - 6008,karb. - KM - T3 - 6234 - 6223 - 6206,6209 - 6240 - 6205 - 6212 - 6203 (Pl),6130 - 6230v - 6227 - 6202 - 6225 (Pl) - 6246 - 6221v - 6221k Db-ig,S26011e (Db-Sl) - 6120 - 6199 - 6194 - 6193 - 6098,karb. - KM - T3 - 6011v,6130 - 6230v - 6293 (Ni) - 6206,6209
4Bhv,31407,6009 - 6102v Db-ig - 6234 - 6223 - 6206,6209 - 6240 - 6205 - 6212 - 6203 (Pl),6130 - 6230v - 6227 - 6202 - 6225 (Pl) - 6246 - 6221v Db-ig,S26011 (Db-Sl) - 6120 - 6199 - 6194 - 6193 - 6098,karb. - KM - T3 - 6015 - 6226 - 6221e - Db-től 6221 (Sl),2849 - 6150 - 6127 - 6216 - 6231,S26011e (Db-Sl) - 2649e - 6192 - 6195v - 6108e - Db-től 6108 - 6121v,S26011v (Db-Sl) - 6120
4Bhv,31408,6209 - 6240 - 6205 - 6212 - 6203 (Pl),6130 - 6230v - 6227 - 6202 - 6225 (Pl) - 6246 - 6221v Db-ig,S26011 (Db-Sl) - 6120 - 6199 - 6194 - 6193 - 6098,karb. - KM - T3 - 6015 - 6226 - 6221e - Db-től 6221 (Sl),2649e - 6192 - 6195 - 718e,(2Bhv) 707 er. - 732 er. - 735 er. - 726 er.,(2Bhv) 725 er. - 716 er. - 711 er.,6102e
4Bhv,31409,6130 - 6230v - 6227 - 6202 - 6225 (Pl) - 6246 - 6221v Db-ig,S26011 (Db-Sl) - 6120 - 6199 - 6194 - 6193 - 6098,karb. - KM - T3 - 6015 - 6226 - 6221e - Db-től 6221 (Sl),2649e - 6192 - 6195 - 6108,6129 - Pv tárol - 2828v - S22626v (Cv-Sl),6120 - 6199 - 6194 - 6193 - 6098,karb. - KM - T3  - 6011v,6130
"2Bhv,3Bd",31411,16907 - 16906,6219 - karb. - KM - T3 - 6254v,16907 - 16906,6219 - karb. - KM - T3 - 6254v,16907 - 16906,6219 (Ni)  - KM - T3,6292,16907
"2Bhv,3Bd",31412,6219 - karb. - KM - T3 - 6254v,16907 - 16906,6219 - karb. - KM - T3 - 6254v,16907 - 16906,6219 - karb. - KM - T3 - 6254v,16907 - 16906,16907 - 16906,6219 - karb.
"1BDt,2Bhv",31511,6220 - 6207 - 6260 - 6295 - 6214 - 6293 (Ni),6137 - karb. - KM - T3 - S26114v (Db-Ni),6119 - S22611 (Sl-Cv) - 6112 -  6125 -  S22612 (Cv-Sl),S22639 (Sl-Cv) - 6150 - 6127 - 6216 - 6231,6210 - 6217  - 6250  -  6215  - 6292 -  6213 (Db),6210 - 6217 - 6250  -  6215  - 6292,6231,6210
"1BDt,2Bhv",31512,6137 - karb. - KM - T3 - S26114v (Db-Ni),6119 - S22611 (Sl-Cv) - 6112 -  6125 -  S22612 (Cv-Sl),S22639 (Sl-Cv) - 6150 - 6127 - 6216 - 6231,6210 - 6217  - 6250  -  6215  - 6292 -  6213 (Db),S26035 (Db-Pl) - (Pl) 6140 - 6117 - 6244  - 6211 - 6111,Pl tárol,Pl tárol,S26033 (Pl-KJ) - (KJ) 6012
"1BDt,2Bhv",31513,6119 - S22611 (Sl-Cv) - 6112 -  6125 -  S22612 (Cv-Sl),S22639 (Sl-Cv) - 6150 - 6127 - 6216 - 6231,6210 - 6217  - 6250  -  6215  - 6292 -  6213 (Db),S26035 (Db-Pl) - (Pl) 6140 - 6117 - 6244  - 6211 - 6111,S26033 (Pl-KJ) - (KJ) 6012 - KM - T3  - 6254e,6239 - 6149 - 6114  - (Ni) 6234 - 6223 - 6206,6209 - 6240 - 6205,
"1BDt,2Bhv",31514,S22639 (Sl-Cv) - 6150 - 6127 - 6216 - 6231,6210 - 6217  - 6250  -  6215  - 6292 -  6213 (Db),S26035 (Db-Pl) - (Pl) 6140 - 6117 - 6244  - 6211 - 6111,S26033 (Pl-KJ) - (KJ) 6012 - KM - T3  - 6254e,6239 - 6149 - 6114 - 6135 - 6118,6129 - 6112 -  6125 - 6136 (Ni),(Ni) 6234 - 6223 (Ni),6137
"1BDt,2Bhv",31515,6210 - 6217  - 6250  -  6215  - 6292 -  6213 (Db),S26035 (Db-Pl) - (Pl) 6140 - 6117 - 6244  - 6211 - 6111,S26033 (Pl-KJ) - (KJ) 6012 - KM - T3  - 6254e,6239 - 6149 - 6114 - 6135 - 6118,6139 - karb. - KM - T3 - S26114e (Db-Ni),(Ni) 6226 - 6221 (Db),karbantartás - 6128e,6119
"1BDt,2Bhv",31516,S26035 (Db-Pl) - (Pl) 6140 - 6117 - 6244  - 6211 - 6111,S26033 (Pl-KJ) - (KJ) 6012 - KM - T3  - 6254e,6239 - 6149 - 6114 - 6135 - 6118,6139 - karb. - KM - T3 - S26114k (Db-Ni),6220 - 6207 - 6260 - 6295 - 6214 - 6293 (Ni),S26111v (Ni-Db) - karb. - KM - T3,karb. - KM - T3,S26035 (Db-Pl) - (Pl) 6140
"1BDt,2Bhv",31517,S26033 (Pl-KJ) - (KJ) 6012 - KM - T3  - 6254e,6239 - 6149 - 6114 - 6135 - 6118,6139 - karb. - KM - T3 - S26114e (Db-Ni),6220 - 6207 - 6260 - 6295 - 6214 - 6293 (Ni),6137 - karb. - KM - T3 - S26114v (Db-Ni),6220 - 6207 - 6260 - 6295 - 6214 - 6293 (Ni),6135 - 6118,6220
"1BDt,2Bhv",31518,6239 - 6149 - 6114 - 6135 - 6118,6139 - karb. - KM - T3 - S26114e (Db-Ni),6220 - 6207 - 6260 - 6295 - 6214 - 6293 (Ni),6137 - karb. - KM - T3 - S26114v (Db-Ni),6119 - S22611 (Sl-Cv) - 6112 -  6125 -  S22612 (Cv-Sl),Sl tárol,Sl tárol,
"1BDt,2Bhv",31519,6139 - karb. - KM - T3 - S26114k (Db-Ni),6220 - 6207 - 6260 - 6295 - 6214 - 6293 (Ni),6137 - karb. - KM - T3 - S26114v (Db-Ni),6119 - S22611 (Sl-Cv) - 6112 -  6125 -  S22612 (Cv-Sl),S22639 (Sl-Cv) - 6150 - 6127 - 6216 - 6231,karb. - KM - T3,6210 - 6217  - 6250,
3Bd,31521,(3Bd) 6099e - Pv tárol - 6018e,6099e - Pv tárol - 6018e,6099e - Pv tárol - 6018e,6099e - Pv tárol - 6018e,6099e - IC734 er - IC733 er - 6018e,"(ksz. 26,25,24) 6019k1 - 34k Ni-ig",6121k,(3Bd) 6099e
1Bd,31539,6121v,karb.,karb.,karb. - S26114e (Db-Ni),(ksz. 34) IC 605e - IC 606v Db-ig - IC 638v - 32421e,32410k - (ksz. 34) IC639e  - Db-től 619k - (ksz. 16) 606k,(ksz. 16)  IC617v - IC614e - S26211v (Zn-Ni),6121v
2Bd,31541,6010 - 6822 - 6821 - Ná-tól 6821e,karb. - KM - T3 - 6011,6010 - 6822 - 6821 - Ná-tól 6821e,karb. - KM - T3 - 6011,"6010 - 6822 - 6821 - Ná-tól 6821e - 6128e6119 (Db) - karb. - KM - T3 - 6011e",6010 - 6822 - 6821 - Ná-tól 6821e,karb. - 6011,
2Bd,31542,karb. - KM - T3 - 6011,6010 - 6822 - 6821 - Ná-tól 6821e,karb. - KM - T3 - 6011,6010 - 6822 - 6821 - Ná-tól 6821e,karb. - KM - T3 - 60116010 - 6822 - 6821 - Ná-tól 6821e - 6128e,6119 (Db) - karb. - KM - T3 - 6011e,6010,
2Bhv,Zn kishatár,"32510v - 32519v - 32530 - 32539 - 32520 - 32529 - 32512v Csapig - 32517 - (Zn) 34vCsapig - Csaptól 33v (Zn) - 32516 - 32513 - 32526 - 32523 - 32518 - 32511","32510v - 32519v - 32530 - 32539 - 32520 - 32529 - 32512v Csapig - 32517 - (Zn) 34vCsapig - Csaptól 33v (Zn) - 32516 - 32513 - 32526 - 32523 - 32518 - 32511","32510v - 32519v - 32530 - 32539 - 32520 - 32529 - 32512v Csapig - 32517 - (Zn) 34vCsapig - Csaptól 33v (Zn) - 32516 - 32513 - 32526 - 32523 - 32518 - 32511","32510v - 32519v - 32530 - 32539 - 32520 - 32529 - 32512v Csapig - 32517 - (Zn) 34vCsapig - Csaptól 33v (Zn) - 32516 - 32513 - 32526 - 32523 - 32518 - 32511","32510v - 32519v - 32530 - 32539 - 32520 - 32529 - 32512v Csapig - 32517 - (Zn) 34vCsapig - Csaptól 33v (Zn) - 32516 - 32513 - 32526 - 32523 - 32518 - 32511","32510v - 32519v - 32530 - 32539 - 32520 - 32529 - 32512v Csapig - 32517 - (Zn)34v Csapig - Csaptól 33v (Zn) - 32516 - 32513 - 32526 - 32523 - 32518 - 32511","32510v - 32519v - 32530 - 32539 - 32520 - 32529 - 32512v Csapig - 32517 - (Zn) 34vCsapig - Csaptól 33v (Zn) - 32516 - 32513 - 32526 - 32523 - 32518 - 32511",32510v
