Összeállítás,Szerelvénysz.,Hétfő,Kedd,Szerda,Csütörtök,Péntek,Szombat,Vasárnap,Hétfő
1 KISS (815),K1401,3327-3332v(lezárva)-3325-3344-3333-3318-3341-3388,2617-2842-2815-2844-2813-2886,2829-2812-2817-2814-2825-2856-22811-2846-2811-2888,2669-2832-2837-2834-2845-2876-2843-2878,I. karbantartás,22617-2859-2352-2343,2372-2323-20214-külső mosás,20120-2040
1 KISS (815),K1402,2617-2842-2815-2844-2813-2886,2829-2812-2817-2814-2825-2856-22811-2846-2811-2888,2669-2832-2837-2834-2845-2876-2843-2878,I. karbantartás-22631-2398,2329-2420-2417-2354-22321-2366-22337-2338,2369-2372-2323-2378-2361,14281-18603-20620,2026
1 KISS (815),K1403,2829-2812-2817-2814-2825-2856-22811-2846-2811-2888,2669-2832-2837-2834-2845-2876-2843-2878,I. karbantartás-22631-2398,2329-2420-2417-2354-22321-2366-22337-2338,2369-2422-2457-2472-2425-2444-2475-2416-2443-2466-2411-2438-2461-2378,2349-2412-2447-2462-2415-2434-2465-2484-2433-2456-2483-2428-2451-2478-22433,"20219-külső mosás, tisztítás-20132",3320
1 KISS (815),K1404,2669-2832-2837-2834-2845-2876-2843-2878,I. karbantartás-22631-2398,2329-2420-2417-2354-22321-2366-22337-2338,2369-2422-2457-2472-2425-2444-2475-2416-2443-2466-2411-2438-2461-2378,2359-22422-2447-2462-2415-2434-2465-2484-2433-2456-2483-2428-2451-2478,2429-2432-2467-2482-2435-2454-2485-2426-2453-2476-2421-2448-2471-2498-22431,"20211-külső mosás, tisztítás-20127-2648",2669
1 KISS (815),K1405,I. karbantartás-22631-2398,2329-2420-2417-2354-22321-2366-22337-2338,2369-2422-2457-2472-2425-2444-2475-2416-2443-2466-2411-2438-2461-2378,2359-22422-2447-2462-2415-2434-2465-2484-2433-2456-2483-2428-2451-2478,2429-2432-2467-2482-2435-2454-2485-2426-2453-2476-2421-2448-2471-2498,2419-2422-2457-2472-2425-2444-2475-2416-2443-2466-2411-2438-2461-2488,2419-2422-2457-2472-2425-2444-2475-2416-2443-2466-2411-2438-2461-2488,2439
1 KISS (815),K1406,20120-2040-2017,2010-2019-2060-2037-2052-2087-2024-2065-2084-2043-2066-2021-2048-2081,2026-2063-2086-2041,20266-3512-3537-3514-3535-3516-3533-3518-3531-20629,2050-2027-2042-2077-2014-2055-2074-2033-2056-2011-2038-2071,2330v(lezárva)-18702e-28732e-28733v-18703v(Kelenföldtől lezárva)-22327e,2330v(lezárva)-18702e-28732e-28733v-18703v(Kelenföldtől lezárva),2359
1 KISS (815),K1407,2010-2019-2060-2037-2052-2087-2024-2065-2084-2043-2066-2021-2048-2081,2026-2063-2086-2041,20266-3512-3537-3514-3535-3516-3533-3518-3531-20629,2050-2027-2042-2077-2014-2055-2074-2033-2056-2011-2038-2071,2310-2319-2410-2449-2442-2477-2414-2445-2464-2413-2436-2463-2486-2431-2458-22335-2398,2329-2420-2427-2452-2487-2424-2455-2474-2423-2446-2473-2418-2441-2468,2429-2432-2467-2482-2435-2454-2485-2426-2453-2476-2421-2448-2471-2498-22338,2369
1 KISS (815),K1408,2026-2063-2086-2041,20266-3512-3537-3514-3535-3516-3533-3518-3531-20629,2050-2027-2042-2077-2014-2055-2074-2033-2056-2011-2038-2071,2310-2319-2410-2449-2442-2477-2414-2445-2464-2413-2436-2463-2486-2431-2458-22330-2361,2040-2017,2330e-18702v(Kelenföldig lezárva)-28732v-28733e-18703e-22327v,2330e-18702v(Kelenföldig lezárva)-28732v-28733e-18703e,2379
1 KISS (815),K1409,20266-3512-3537-3514-3535-3516-3533-3518-3531-20629,2050-2027-2042-2077-2014-2055-2074-2033-2056-2011-2038-2071,2310-2319-2410-2449-2442-2477-2414-2445-2464-2413-2436-2463-2486-2431-2458-22330-2361,2040-2017,2010-2019-2060-2037-2052-2087-2024-2065-2084-2043-2066-2021-2048-2081,2640-2669-2832-2837-2834-2845-2836-2843-2838-22632,2617-2842-2815-2844-2813-2846-2811,2350
1 KISS (815),K1410,2050-2027-2042-2077-2014-2055-2074-2033-2056-2011-2038-2071,2310-2319-2410-2449-2442-2477-2414-2445-2464-2413-2436-2463-2486-2431-2458-22330-2361,2040-2017,2010-2019-2060-2037-2052-2087-2024-2065-2084-2043-2066-2021-2048-2081,2026-2063-2086-2041,"20219-külső mosás, tisztítás-20127-2398",2349-2352-2343-2378-2361,22332-2329
