?ssze?ll?t?s,Szerelv?nysz.,H?tf?,Kedd,Szerda,Cs?t?rt?k,P?ntek,Szombat,Vas?rnap,H?tf?
4Bhv,31401,S26011 (Db-Sl) - 6120 - 6224,6237 - 6199 - 6194 - 6193 - 6098,karb. - KM - T3 - S26114v (Db-Ni),6129 - Pv t?rol - 6136 - 6236,6219 - karb. - KM - T3 - 6234 - 6223v - 6206,6229 - karb. - KM - T3,"(4Bhv)  S26011e (Db-Sl) - (ksz. 27,26,25,24) IC682v - IC564e - IC608v",6129
4Bhv,31402,6237 - 6199 - 6194 - 6193 - 6098,karb. - KM - T3 - S26114v (Db-Ni),6129 - Pv t?rol - 6136 - 6236,6219 - karb. - KM - T3 - 6234 - 6223 - 6206,6209 - 6240 - 6205 - 6212 - 6203 (Pl),6130 - 6230v - 6227 - 6202  - 6203 (Ni) - 6298e,6229 - karb. - KM - T3 - 6011v,6130
4Bhv,31403,2649e - 6192 - 6195 - 6108,6129 - Pv t?rol - 6136 - 6236,6219 - karb. - KM - T3 - 6234 - 6223 - 6206,6209 - 6240 - 6205 - 6212 - 6203 (Pl),6130 - 6230v - 6227 - 6202 - 6225 (Pl) - 6246,6239 - 6149 - 6114  - (Ni) 6234 - 6223 - 6206,6209 - 6240 - 6205 - (Ni) 6226e,6229
4Bhv,31404,6129 - Pv t?rol - 6136 - 6236,6219 - karb. - KM - T3 - 6234 - 6223 - 6206,6209 - 6240 - 6205 - 6212 - 6203 (Pl),6130 - 6230v - 6227 - 6202 - 6225 (Pl) - 6246,6229 - 6015 - 6226 - 6221 - Ni-t?l 6221e - Db-t?l 6221 (Sl),Sl t?rol,Sl t?rol,2649e
4Bhv,31405,6219 - karb. - KM - T3 - 6234 - 6223 - 6206,6209 - 6240 - 6205 - 6212 - 6203 (Pl),6130 - 6230v - 6227 - 6202 - 6225 (Pl) - 6246,6229 - 6015 - 6226 - 6221e  - Db-t?l 6221 (Sl),6120 - 6224 - 6223e - 6236,Zn t?rol,6219 (Ni) - 6220 - 6207 - 6260v - 6295 - 6226v,6219
4Bhv,31406,6209 - 6240 - 6205 - 6212 - 6203 (Pl),6130 - 6230v - 6227 - 6202 - 6225 (Pl) - 6246,6229 - 6015 - 6226 - 6221e - Db-t?l 6221 (Sl),2649e - 6192 - 6195 - 6108 - 6208e,6237 - 6199 - 6194 - 6193 - 6098v,karb. - KM - T3 - 6011v,6130 - 6230v - 6203 - 6206,6209
4Bhv,31407,6130 - 6230v - 6227 - 6202 - 6225 (Pl) - 6246,6229 - 6015 - 6226 - 6221e  - Db-t?l 6221 (Sl),6120 - 6224,6237 - 6199 - 6194 - 6193 - 6098,karb. - KM - T3,S26011 (Db-Sl) - 2649,6108 - 6208e,6237
4Bhv,31408,6229 - 6015 - 6226 - 6221e  - Db-t?l 6221 (Sl),2649e - 6192 - 6195 - 6108 - 6208e,6237 - 6199 - 6194 - 6193 - 6098,karb. - KM - T3 - S26114k2 (Db-Ni),6129 - Pv t?rol - 6198e,Ni t?rol,6105e - 6198v Db-ig,S26011 (Db-Sl) - 6120
"1BDt,3Bhv",31511,6220 - 6207 - 6260 - 6295 - 6214 - 6293 (Ni) - 6298,6239 - 6149 - 6114 - 6135 - 6118,6137 - KM - T3 - S26114k (Db-Ni),6119 - S22611 (Sl-Cv) - 6112 -  6125 -  S22612 (Cv-Sl),S22639 (Sl-Cv) - 6150 - 6127 - 6216 - 6231,karbantart?s,karbantart?s,6210
"1BDt,3Bhv",31512,6239 - 6149 - 6114 - 6135 - 6118,6137 - KM - T3 - S26114k (Db-Ni),6119 - S22611 (Sl-Cv) - 6112 -  6125 -  S22612 (Cv-Sl),S22639 (Sl-Cv) - 6150 - 6127 - 6216 - 6231,6210 - 6217  - 6250  -  6215  - 6292 -  6213 (Db),(1BDt) karbantart?s - S26112e (Db-Ni),(Ni) 6234 - 6223 - 6298,6239
"1BDt,3Bhv",31513,6137 - KM - T3 - S26114v (Db-Ni),6119 - S22611 (Sl-Cv) - 6112 -  6125 -  S22612 (Cv-Sl),S22639 (Sl-Cv) - 6150 - 6127 - 6216 - 6231,6210 - 6217  - 6250  -  6215  - 6292 -  6213 (Db),S26035 (Db-Pl) - (Pl) 6140 - 6117 - 6244  - 6211 - 6111,Pl t?rol,Pl t?rol,S26033 (Pl-KJ) - (KJ) 6012
"1BDt,3Bhv",31514,6119 - S22611 (Sl-Cv) - 6112 -  6125 -  S22612 (Cv-Sl),S22639 (Sl-Cv) - 6150 - 6127 - 6216 - 6231,6210 - 6217  - 6250  -  6215  - 6292 -  6213 (Db),S26035 (Db-Pl) - (Pl) 6140 - 6117 - 6244  - 6211 - 6111,S26033 (Pl-KJ) - (KJ) 6012 - KM - T3 - S26114e (Db-Ni),6129 - 6112 -  6125 - 6136 - 6236,6293 (Ni),6220
