Összeállítás,Szerelvénysz.,Hétfő,Kedd,Szerda,Csütörtök,Péntek,Szombat,Vasárnap,Hétfő
1 KISS (815),K1401,3327-3332v(lezárva)-3325-3344-3333-3318-3341-3388,2617-2842-2667-2844-2633-2846-2631-2848,2829-22830-2827-2662-2835-2646-2833-2618-2831-2638,2879-2632-2837-2634-2845-2656-2843-2628-22632 -2691e,2650-2627-2642-2815-2644-2813-2666-2811-2608-22622,2629-2812-2817-2814-2825-2816-2823-2818-2821-14260,2629-2812-2817-2814-2825-2816-2823-2818-2821,2050
1 KISS (815),K1402,2617-2842-2667-2844-2633-2846-2631-2848,2829-22830 -2827-2662-2835-2646-2833-2618-2831-2638,2879-2632-2837-2634-2845-2656-2843-2628-22632 -2691e,2650-2627-2642-2815-2644-2813-2666-2811-2608-22622,I. karbantartás-6051-Cv-től 6018,1677-16708,16709-1674-26121,I. karbantartás-14621 -2398
1 KISS (815),K1403,22623 -2829-22830 -2827-2662-2835-2646-2833-2618-2831-2638,2879-2632-2837-2634-2845-2656-2843-2628-22632 -2691e,2650-2627-2642-2815-2644-2813-2666-2811-2608-22622,I. karbantartás-14621 -2398,2329-2420-2417-2354-22321 -2366-22337 -2338,2339-2312-2347-2362-2315-2334-2345-2336-2333-2396-2331-2378,2329-2312-2347-2362-2315-2334-2345-2336-2333-2396-2331-2378,2359
1 KISS (815),K1404,2879-2632-2837-2634-2845-2656-2843-2628-22632 -2691e,2650-2627-2642-2815-2644-2813-2666-2811-2608-22622,I. karbantartás-14621 -2398,2329-2420-2417-2354-22321 -2366-22337 -2338,2339-2312-2337-2346-22341 -6108,tartalék,tartalék,2310
"",,,,,,,,,
1 KISS (815),K1405,2650-2627-2642-2815-2644-2813-2666-2811-2608-22622,I. karbantartás-14621 -2398,2329-2420-2417-2354-22321 -2366-22337 -2338,2339-2312-2337-2346-22341 -2318,2359-22422 -2447-2462-2415-2434-2465-2484-2433-2456-2483-2428-2451-2478,2429-2432-2467-2482-2435-2454-2485-2426-2453-2476-2421-2448-2471-2498-22431,2410-2449-2442-2477-2414-2445-2464-2413-2436-2463-2486-2431-2458-22330,2379
1 KISS (815),K1406,I. karbantartás-14621 -2398,2329-2420-2417-2354-22321 -2366-22337 -2338,2339-2312-2337-2346-22341 -2318,2359-22422 -2447-2462-2415-2434-2465-2484-2433-2456-2483-2428-2451-2478,2429-2432-2467-2482-2435-2454-2485-2426-2453-2476-2421-2448-2471-2498,2419-2422-2457-2472-2425-2444-2475-2416-2443-2466-2411-2438-2461-2488,2419-2422-2457-2472-2425-2444-2475-2416-2443-2466-2411-2438-2461-2488,2439
1 KISS (815),K1407,20120 -2040-2017,2010-2019-2060-2037-2052-2087-2024-2065-2084-2043-2066-2021-2048-2081,2026-2063-2086-2041,2050-2027-2042-2077-2014-2055-2074-2033-2056-2011-2038-2071,2350-2327-2342-2377-2324-2335-2316-2313-2376-2321-2348-2351-20216,20126 -2372-2323-2368-2361,2352-2343-2368-2361,2010
1 KISS (815),K1408,2010-2019-2060-2037-2052-2087-2024-2065-2084-2043-2066-2021-2048-2081,2026-2063-2086-2041,2050-2027-2042-2077-2014-2055-2074-2033-2056-2011-2038-2071,2350-2327-2342-2377-2324-2335-2316-2313-2376-2321-2348-2351,2310-2319-2410-2449-2442-2477-2414-2445-2464-2413-2436-2463-2486-2431-2458-22435- 2398,2349-2412-2447-2462-2415-2434-2465-2484-2433-2456-2483-2428-2451-2478-22433,"20211 -külső mosás, tisztítás-20127",2350
1 KISS (815),K1409,2026-2063-2086-2041,2050-2027-2042-2077-2014-2055-2074-2033-2056-2011-2038-2071,2350-2327-2342-2377-2324-2335-2316-2313-2376-2321-2348-2351,2310-2319-2410-2449-2442-2477-2414-2445-2464-2413-2436-2463-2486-2431-2458-22330,2317-20213 -külső mosás-20126 -2326-22333 -2386-22325 -2358,2369-2352-2343-20214 -külső mosás,20126,22332 -2329
1 KISS (815),K1410,2050-2027-2042-2077-2014-2055-2074-2033-2056-2011-2038-2071,2350-2327-2342-2377-2324-2335-2316-2313-2376-2321-2348-2351,2310-2319-2410-2449-2442-2477-2414-2445-2464-2413-2436-2463-2486-2431-2458-22330,2317-20213 -külső mosás-20126 -2326-22333 -2386-22325 -2358-2361,2040-2017,2410-2449-2442-2477-2414-2445-2464-2413-2436-2463-2486-2431-2458-22421,"20219 -külső mosás, tisztítás-14260  20130",3320
"",,,,,,,,,
1 KISS (815),K1411,2350-2327-2342-2377-2324-2335-2316-2313-2376-2321-2348-2351,2310-2319-2410-2449-2442-2477-2414-2445-2464-2413-2436-2463-2486-2431-2458-22330,2317-20213 -külső mosás-20126 -2326-22333 -2386-22325 -2358-2361,2040-2017,2010-2019-2060-2037-2052-2087-2024-2065-2084-2043-2066-2021-2048-2081,tartalék,2372-2323-20214 -külső mosás,20120 -2040
1 KISS (815),K1412,2310-2319-2410-2449-2442-2477-2414-2445-2464-2413-2436-2463-2486-2431-2458-22330,2317-20213 -külső mosás-20126 -2326-22333 -2386-22325 -2358-2361,2040-2017,2010-2019-2060-2037-2052-2087-2024-2065-2084-2043-2066-2021-2048-2081,2026-2063-2086-2041,"20219 -külső mosás, tisztítás-20127- 2398",18702-18703,2339
1 KISS (815),K1413,2317-20213 -külső mosás-20126 -2326-22333 -2386-22325 -2358-2361,2040-2017,2010-2019-2060-2037-2052-2087-2024-2065-2084-2043-2066-2021-2048-2081,2026-2063-2086-2041,2050-2027-2042-2077-2014-2055-2074-2033-2056-2011-2038-2071,2330-18702-18703,2379-2332-2367-2314-2325-2344-2355-2356-2311-2328-2341-2388,2317
1 KISS (815),K1414,22332 -2329-2420-2417-2354-22321 -2366-22337 -2338,2339-2312-2337-2346-22341 -2318,2359-22422 -2447-2462-2415-2434-2465-2484-2433-2456-2483-2428-2451-2478,2429-2432-2467-2482-2435-2454-2485-2426-2453-2476-2421-2448-2471-2498,2427-2452-2487-2424-2455-2474-2423-2446-2473-2418-2441-2468-22433,"20218 -külső mosás, tisztítás",20120 -2420-2427-2452-2487-2424-2455-2474-2423-2446-2473-2418-2441-2468,2429
