?ssze?ll?t?s,Szerelv?nysz.,H?tf?,Kedd-Cs?t?rt?k,P?ntek,Szombat,Vas?rnap,H?tf?
"1 ARmz (85-91)(ksz.18), 1 ARmz (85-91), (ksz:19), 1 Bbdpmz (8491) (ksz:20) ,2 Bp",2102,(MS)Karb- 5158(2/1)(SR) - (SR)5158 (8591 lez?rva),26111s - 6099(2/2) - 652 - 568,650 - 566 - 628,26111s(3/1)- 26015s  - 682 - 564 - 608 - 6208 (8591 lez?rva),619(2/2) - (DB)619(3/2) - 654(2/1) -IC 586(2/2) - 6128(3/1),2107
"1 ARmz (85-91)(ksz.18), 1 ARmz (85-91), (ksz:19), 1 Bbdpmz (8491) (ksz:20) ,2 Bp",2103,26111s - 6099 (2/2) - 652 - 568,650 - 566 - 2848  -22622s,682(2/1) - 564(2/2) - 608(2/1) - 6208 (8591 lez?rva),619 - (DB)619(3/1) - 654(2/2) -IC 586(3/2) - 6128(2/1),519(2/1) - 562(3/3) - 688(3/1),2102
"1 ARmz (85-91)(ksz.18), 1 ARmz (85-91), (ksz:19), 1 Bbdpmz (8491) (ksz:20) ,2 Bp",2104,650 - 566 - 2848-22622s,682 - 564 - 608 - 6208 (8591 lez?rva),619 - (DB)619(2/1) - 654 -IC 586(2/2) - 6128(2/1),519(2/1) - 562 - 688,(MS)Karb- 5158(2/1)(SR) - (SR)5158 (8591 lez?rva),2103
"1 ARmz (85-91)(ksz.18), 1 ARmz (85-91), (ksz:19), 1 Bbdpmz (8491) (ksz:20) ,2 Bp",2105,682 - 564 - 608 - 6208 (8591 lez?rva),619 - (DB)619(2/1) - 654 -IC 586(2/2) - 6128(3/1),519(2/1) - 562(3/3) - 688(3/1),(MS)Karb- 5158(2/1)(SR) - 5158 (8591 lez?rva),26111s - 6099- 652 - 568(2/2),2104
"1 ARmz (85-91)(ksz.18), 1 ARmz (85-91), (ksz:19), 1 Bbdpmz (8491) (ksz:20) ,2 Bp",2106,619 - (DB)619(2/1) - 654 -IC 586 - 6128(3/1),519 - 562(2/2) - 688(2/1),(MS)Karb- 5158 (8591 lez?rva),26111(3/3)s - 6099(2/2) - 652(2/1) - 568(2/2),650(2/1) - 566(3/3) - 2848(2/1)  -2668(2/1),2105
"1 ARmz (85-91)(ksz.18), 1 ARmz (85-91), (ksz:19), 1 Bbdpmz (8491) (ksz:20) ,2 Bp",2107,519 - 562 - 688,(MS)Karb- 5158(2/1)(SR) - (SR)5158 (8591 lez?rva),26111s - 6099 (2/2) - 652 - 568(2/1),650(2/1) - 566 - 2848 -22622s,682(2/1) - 564 (3/3)- 608(3/1) - 6208 (8591 lez?rva),2106
"1 ARmz (85-91), (ksz:19), 1 Bbdpmz (8491) (ksz:20) ,2 Bp (2044) (ksz:21-22), 1",2107,IC 600 - IC 605 - IC 688,(MS)Karb- 5158(2/2) (8591 lez?rva),IC 609 - IC 654 -IC 516(2/1)(SR)-(SR)516,IC 529 - IC 562 - IC 626,IC 619 - IC 604 - (N?)603(2/1),2106
"1 Bpmee (2076), 1 Bdmpee (8405), 1 Bp (2044), (ksz: 31,30, 21)",2109,5220 - 527 - (MS)199(2/1) - 184(2/2)(MS) - 524 - 501 - (MS)191(2/1),182(2/2)(MS) - 520 -  523 - (MS)197(2/1) -186(2/2)(MS) - 526,5219 - 5212 -  5217 -5232 - 525 - (MS)187(2/1) - 194(2/2)(MS) - 506 - 5221,509(2/1) - 190(2/2)(MS) - 522 - 503 - (MS)195(2/1) - 188(2/2)(MS) - 528  - 5241,5210 -507 - (MS)189(2/1) - 192(2/2)(MS) - 504 - 521 - (MS)193(2/1) - 518,2109
"1 Bpmee (2076), 1 Bdmpee (8405), 1 Bp (2044), (ksz: 31,30, 21)",2110,182(2/2)(MS) - 520 -  523 - (MS)197(2/1) -186(2/2)(MS) - 526,5219 - 5212 -  5217 -5232 - 525 - (MS)187(2/1) - 194(2/2)(MS) - 506 - 5221,509(2/1) - 190(2/2)(MS) - 522 - 503 - (MS)195(2/1) - 188(2/2)(MS) - 528  - 5241,5210 -507 - (MS)189(2/1) - 192(2/2)(MS) - 504 - 521 - (MS)193(2/1) - 518,5220(2/2) - 527 - (MS)199(2/1) - 184(2/2)(MS) - 524 - 501 - (MS)191(2/1),2110
"1 Bpmee (2076), 1 Bdmpee (8405), 1 Bp (2044), (ksz: 31,30, 21)",2111,5219 - 5212 -  5217 -5232 - 525 - (MS)187(2/1) - 194(2/2)(MS) - 506 - 5221,509(3/1) - 190(2/2)(MS) - 522 - 503 - (MS)195(2/1) - 188(2/2)(MS) - 528  - 5241,5210 -507 - (MS)189(2/1) - 192(2/2)(MS) - 504 - 521 - (MS)193(2/1) - 518,5220 - 527 - (MS)199(2/1) - 184(2/2)(MS) - 524 - 501 - (MS)191(2/1),182(2/2)(MS) - 520 -  523 - (MS)197(2/1) -186(2/2)(MS) - 526,2111
