"",?ssze?ll?t?s,,Szerelv?nysz.,,H?tf?,,Kedd-Cs?t?rt?k,,P?ntek,,Szombat,,Vas?rnap,,H?tf?,
"","1 Bpee, 1 Byd, 2 By",,5401-,,"(1 Bpee) 8609e - Tartal?k (B) - IC 848v(1 Byd, 2 By) 8609v - Tartal?k (B) - IC 856e",,K?ls? mos?s - 8559 - 28511 - 8612 - IC 877 - IC 874 - IC 873,,IC 860 - IC 865 - IC 866v - IC 861e - 4578v,,4549e - IC 842<4> - IC 855 - IC 856v,,IC 857 - IC 854,,IC 849 - ...,
"","1 Bpee, 1 Byd, 2 By",,-02-,,K?ls? mos?s - 8559 - 28511 - 8612 - IC 877 - IC 874 - IC 873,,IC 860 - IC 865 - IC 866 - IC 861 - 4578v,,4549e - IC 842 - IC 855 - IC 856v,,IC 857 - IC 854,,IC 849 - IC 852v - IC 843<2> - IC 848<2>,,K?ls? mos?s - IC 847 - ...,
"","1 Bpee, 1 Byd, 2 By",,-03-,,IC 860 - IC 865 - IC 866 - IC 861 - 4578v,,4549e - IC 842 - IC 855 - IC 856v,,IC 857e - IC 854v,,IC 849 - IC 852<4> - IC 843e - IC 848e,,K?ls? mos?s - IC 847 - IC 844 - IC 853e - 4578e,,4549v - IC 862v - ...,
"","1 Bpee, 1 Byd, 2 By",,-04-,,4549e - IC 842 - IC 855 - IC 856v,,IC 857 - IC 854,,IC 849 - IC 852v - IC 843e - IC 848e,,K?ls? mos?s - IC 847e - IC 844v - IC 853e,,"(1 Bpee) Tartal?k (B) - IC 848<4>(1 Byd, 2 By) Tartal?k (B) - IC 856<1>",,K?ls? mos?s - 8559 - ...,
"","1 Bpee, 1 Byd, 2 By",,-05-,,IC 857 - IC 854,,IC 849 - IC 852v - IC 843e - IC 848e,,K?ls? mos?s - IC 847e - IC 844 - IC 853,,"(1 Bpee) Tartal?k (B) - IC 848v(1 Byd, 2 By) Tartal?k (B) - IC 856e",,K?ls? mos?s - 8559 - 28511 - 8612 - IC 877 - IC 874v - IC 873e,,IC 860 - ...,
"","1 Bpee, 1 Byd, 2 By",,-06-,,IC 849 - IC 852v - IC 843e - IC 848e,,K?ls? mos?s - IC 847 - IC 844 - IC 853 - 4578e,,4549v - IC 862v - IC 875e - IC 876v,,IC 867e - IC 864v - IC 863e - IC 868,,8609 - IC 862v - IC 875e - IC 876v,,IC 867e - ...,
"","1 Bpee, 1 Byd, 2 By",,-07-,,K?ls? mos?s - IC 847 - IC 844 - IC 853 - 4578e,,4549v - IC 862v - IC 875e - IC 876v,,IC 867e - IC 864v - IC 863e - IC 868v,,8609e - IC 862v - IC 875e - IC 876v,,IC 867e - IC 864v - IC 863e - IC 868,,8609 - ...,
"","1 Bpee, 1 Byd, 2 By",,-08-,,4549v - IC 862v - IC 875e - IC 876v,,IC 867e - IC 864v - IC 863e - IC 868,,"(1 Bpee) 8609e - Tartal?k (B) - IC 848v(1 Byd, 2 By) 8609v - Tartal?k (B) - IC 856e",,K?ls? mos?s - 8559 - 28511 - 8612 - IC 877 - IC 874 - IC 873,,IC 860 - IC 865 - IC 866 - IC 861 - 4578v,,4549e - IC 842 - ...,
"","1 Bpee, 1 Byd, 2 By",,-5409,,IC 867e - IC 864v - IC 863e - IC 868,,"(1 Bpee) 8609e - Tartal?k (B) - IC 848v(1 Byd, 2 By) 8609v - Tartal?k (B) - IC 856e",,K?ls? mos?s - 8559 - 28511 - 8612 - IC 877 - IC 874 - IC 873,,IC 860 - IC 865 - IC 866 - IC 861 - 4578,,4549 - IC 842v - IC 855<1> - IC 856<4>,,IC 857 - ...,
"",1 Bpee,,5410-,,IC 201e - Gs - IC 201v - Kn - IC 201<2>,,8510<4> - Karbantart?s,,K?ls? mos?s - IC 845e - IC 204<3> - Gs - IC 204v,,IC 201e - Gs - IC 201v - Kn - IC 201<2>,,8510<2> - Karbantart?s - IC 843<1> - IC 848<3>,,K?ls? mos?s - IC 845e - ...,
"",1 Bpee,,-11-,,8510<4> - Karbantart?s,,K?ls? mos?s - IC 845e - IC 204k - Gs - IC 204v,,IC 201e - Gs - IC 201v - Kn - IC 201<2>,,8510<2> - Karbantart?s,,K?ls? mos?s - IC 845e - IC 204<3> - Gs - IC 204v,,IC 201e - ...,
"",1 Bpee,,-5412,,K?ls? mos?s - IC 845e - IC 204k - Gs - IC 204v,,IC 201e - Gs - IC 201v - Kn - IC 201<2>,,8510<4> - Karbantart?s,,K?ls? mos?s - IC 845e - IC 204k - Gs - IC 204v,,IC 201e - Gs - IC 201v - Kn - IC 201<2>,,8510<4> - ...,
"","1 Byd, 2 By",,5413-,,3649v - IC 822e - IC 825v - IC 826e,,8569v - K?ls? mos?s - IC 845v - IC 204e Gs-ig!,,IC 829v - IC 824e - IC 823v,,IC 822e - IC 825v - IC 826e - 28521v,,K?ls? mos?s - IC 845k - IC 204<2> Gs-ig!,,IC 829v - ...,
"","1 Byd, 2 By",,-14-,,8569v - K?ls? mos?s - IC 845v - IC 204e Gs-ig!,,IC 829v - IC 824e - IC 823v - ??23610e,,IC 822e - IC 825v - IC 826e,,8569v - K?ls? mos?s - IC 845v - IC 204e Gs-ig!,,IC 829v - IC 824e - IC 823v - 23610e,,3649v - ...,
"","1 Byd, 2 By",,-5415,,IC 829v - IC 824e - IC 823v - 23610e,,3649v - IC 822e - IC 825v - IC 826e,,8569v - K?ls? mos?s - IC 845k - IC 204<2> Gs-ig!,,IC 829v - IC 824e - IC 823v,,IC 822e - IC 825v - IC 826e,,8569v - ...,
"",1 By,,5416,,Tartal?k (Kn),,Tartal?k (Kn),,IC 857v - IC 854e,,IC 847v - IC 844e,,IC 855<2> - IC 856<3>,,Tartal?k (Kn),
"",1 By,,5419,,Tartal?k (Kn),,Tartal?k (Kn),,IC 847v - IC 866e - IC 861v - 4578e,,4549v - IC 842<3>,,IC 845v - IC 204<1> Gs-ig! - 8561v,,Tartal?k (Kn),
"",1 Byd,,5420,,8510<3> - Kn-t?l! IC 201<3>,,8510<3> - Kn-t?l! IC 201<3>,,8510<3> - Kn-t?l! IC 201<3>,,8510<3> - Kn-t?l! IC 201<3>,,8510<3> - Kn-t?l! IC 201<3>,,8510<3> - ...,
"",1 Byd,,5421,,8510<5> - 14891e/v - 8601e,,8510<5> - 14891e/v - 8601e,,8510<5> - 14891e/v - 8601e,,8510<4> - 14891e/v - 8601e,,8510<4> - 14891e/v - 8601e,,8510<5> - ...,
"",2 By,,5422-,,Tartal?k (B),,8510<1> - 14891v/e - 8601v,,4120v - 4117e - Tartal?k (B) - 4016v - 24011e,,9792k - Tartal?k (Tp),,Tartal?k (Tp) - 9795k,,24012v - 4019e  - ...,
"",2 By,,-23-,,8510<1> - 14891v/e - 8601v,,4120v - 4117e - Tartal?k (B) - 4016v,,4019e - Tartal?k (B) - IC 876e,,IC 867v - IC 864e - Tartal?k (Kl),,Tartal?k (Kl) - IC 863v,,Tartal?k (B),
"",2 By,,-24-,,4120v - 4117e - Tartal?k (B) - 4016v,,4019e - Tartal?k (B),,Tartal?k (B) - IC 9006e - IC 901v,,IC 862e - IC 875v,,IC 852k - IC 853k,,8510<1> - ...,
"",2 By,,-5425,,24012v - 4019e - Tartal?k (B),,Tartal?k (B),,8510<1> - 14891v/e - 8601v,,IC 842<1> - Tartal?k (Kn),,Tartal?k (Kn) - 14891v/e - 8601v,,4120v - ...,
"",2 By,,5426-,,Tartal?k (B),,8510<2> - Kn-t?l! IC 201<4>,,4120e - 4117v - Tartal?k (B) - 4016e - 24011v,,9702k - Tartal?k (Tp),,Tartal?k (Tp) - 9703k,,24012e - 4019v  - ...,
"",2 By,,-27-,,8510<2> - Kn-t?l! IC 201<4>,,4120e - 4117v - Tartal?k (B) - 4016e,,4019v - Tartal?k (B) - 9706e - 9751v,,9750e - 9797v - Tartal?k (B),,954e - 953v,,Tartal?k (B),
"",2 By,,-28-,,4120e - 4117v - Tartal?k (B) - 4016e,,4019v - Tartal?k (B),,Tartal?k (B) - IC 964e - IC 963v,,IC 852<1> - 14891v/e - 8601v,,IC 874e - IC 873v,,8510<2> - ...,
"",2 By,,-5429,,24012e - 4019v - Tartal?k (B),,Tartal?k (B),,8510<2> - Kn-t?l! IC 201<4>,,8510<1> - Kn-t?l! IC 201<4>,,8510<1> - Kn-t?l! IC 201<4>,,4120e - ...,
"",1 By,,5431,,8550 - 8549 - Tartal?k (Bs),,8550 - 8549 - Tartal?k (Bs),,8550 - 8549 - Tartal?k (Bs),,8560e - Tartal?k (Kn),,Tartal?k (Kn) - 8551v,,8550 - ...,
"",1 By,,5432,,8560 - 8551,,8560 - 8551,,8560 - 8551,,8560v - 8551,,8560 - 8551e,,8560 - ...,
"",1 By,,5441-,,IC 867v - IC 864e - IC 863v,,IC 852e - IC 843v,,IC 862e - IC 875v - IC 876k,,IC 867k - IC 864k - IC 863v,,IC 842k - IC 855<4>,,IC 862e - ...,
"",1 By,,-42-,,IC 852e - IC 843v,,IC 862e - IC 875v - IC 876e,,IC 867v - IC 864e - IC 863v - IC 868e,,8609v - IC 862k - IC 875k - IC 876e,,IC 867v - IC 864e - IC 863k,,IC 852e - ...,
"",1 By,,-5443,,IC 862e - IC 875v - IC 876e,,IC 867v - IC 864e - IC 863v,,IC 852e - IC 843v,,IC 852<3> - IC 843k,,IC 862e - IC 875v - IC 876e,,IC 867v - ...,
"",1 Bd (84-44),,5447,,Tartal?k (B),,Tartal?k (B),,Tartal?k (B),,IC 852<2> - IC 843v,,IC 852e - IC 853v,,Tartal?k (B),
"",1 Bd (84-44),,5448,,Tartal?k (B),,Tartal?k (B),,Tartal?k (B),,IC 842<2> - IC 853v,,IC 842e - IC 843<4>,,Tartal?k (B),
"",1 Bd (84-44),,5449,,Tartal?k (Kn),,Tartal?k (Kn),,IC 845v - IC 204<1> Gs-ig! - 8561v,,Tartal?k (Kn),,IC 855<3> - IC 856<2>,,Tartal?k (Kn),
"",2 By,,5451-,,8210 - 8207 - 8214 - 8213 - 8218,,8569e - Karbantart?s - 8253,,Tartal?k (Ud),,Tartal?k (Ud) - 8218 - 28521e,,Karbantart?s - 8253,,Tartal?k (Ud),
"",2 By,,-52-,,8569e - Karbantart?s - 8253,,Tartal?k (Ud),,8210 - 8207 - 8214 - 8213 - 8218,,8569e - Karbantart?s - 8253,,Tartal?k (Ud),,8210 - ...,
"",2 By,,-5453,,Tartal?k (Ud),,8210 - 8207 - 8214 - 8213 - 8218,,8569e - Karbantart?s - 8253,,Tartal?k (Ud),,Tartal?k (Ud) - 8218,,8569e - ...,
"",2 By,,5454-,,8229 - 8216 - 8561v,,8259e - 8202v - 8225e Ka-ig! - 8225 - 8206 - 8561e,,8259v - 8202e - 8225v Ka-ig! - 8226,,Tartal?k (Gs) - 8225 - 8206 - 8561,,8259 - 8202 - Tartal?k (Gs),,8229 - ...,
"",2 By,,-55-,,8259e - 8202v - 8225e Ka-ig! - 8225 - 8206 - 8561e,,8259v - 8202e - 8225v Ka-ig! - 8226,,8229 - 8216 - 8561k,,Tartal?k (Kn),,IC 843<3> - IC 848<1>,,8259e - ...,
