Összeállítás,Fordasor,H (Hétfő),K (Kedd),Sze (Szerda),Cs (Csütörtök),P (Péntek),Szo (Szombat),V (Vasárnap),Mire fordul
1 Bpee (2044),5401,850(3/3) - (KN)Karb,(KN)Külső m - 845(2/1) - 204(3/2)(GS) - (GS)204(2/2),201(2/2)(KN) - (KN)201(4/2),850(3/3) - (KN)Karb,(KN)Külső m - 845(2/1) - 204(3/2)(GS) - (GS)204(2/2),201(2/2)(KN) - (KN)201(4/2),850(3/3) - (KN)Karb - 843(3/1) - 848(4/3),5402
1 Bpee (2044),5402,(KN)Külső m - 845(2/1) - 204(3/2)(GS) - (GS)204(2/2),201(2/2)(KN) - (KN)201(4/2),850(3/3) - (KN)Karb,(KN)Külső m - 845(2/1) - 204(3/2)(GS) - (GS)204(2/2),201(2/2)(KN) - (KN)201(4/2),850(3/3) - (KN)Karb,(KN)Külső m - 845(3/1) - 204(4/3)(GS) - (GS)204(2/2),5403
1 Bpee (2044),5403,201(2/2)(KN) - (KN)201(4/2),850(3/3) - (KN)Karb,(KN)Külső m - 845(2/1) - 204(3/2)(GS) - (GS)204(2/2),201(2/2)(KN) - (KN)201(4/2),850(3/3) - (KN)Karb,(KN)Külső m - 845(2/1) - 204(3/2)(GS) - (GS)204(2/2),201(2/2)(KN) - (KN)201(4/2),5401
"1 Bpee (2044), 1 Byd (8455), 2 By (2155)",5404,4549(3/1) - 842 - 855 - 856(2/2),857 - 854,849 - 852 - 843 - 848(2/1),(KN)Külső m - 8559 - 29620 - 867 - 864 - 863 - 868,8609 - 862 - 875 - 876(2/2) - 871,860 - 865 - 866 - 861 - 4578,4549 - 842 - 855(2/1) - 856(4/4),5405
"1 Bpee (2044), 1 Byd (8455), 2 By (2155)",5405,857 - 854,849 - 852 - 843 - 848(2/1),(KN)Külső m - 8559 - 29620 - 867 - 864 - 863 - 868,8609 - 862 - 875 - 876 - 871,860 - 865 - 866(2/2) - 861(2/1) - 4578(2/2),4549(2/1) - 842(3/3) - 855 - 856(2/2),857 - 854,5406
"1 Bpee (2044), 1 Byd (8455), 2 By (2155)",5406,849 - 852 - 843 - 848(2/1),(KN)Külső m - 8559 - 29620 - 867 - 864 - 863 - 868,8609 - 862 - 875 - 876 - 871,860 - 865 - 866 - 861 - 4578(3/3),4549(3/1) - 842 - 855 - 856(2/2),857 - 854,849 - 852 - 843(3/2) - 848(4/2),5407
"1 Bpee (2044), 1 Byd (8455), 2 By (2155)",5407,(KN)Külső m - 8559 - 29620 - 867 - 864 - 863 - 868,8609 - 862 - 875 - 876 - 871,860 - 865 - 866 - 861 - 4578(3/3),4549(3/1) - 842 - 855 - 856(2/2),857(2/1) - 854(2/2),849(2/1) - 852(2/2) - 843 - 848(2/1),(KN)Külső m - 8559 - 29620 - 867 - 864 - 863(2/1) - 868,5408
"1 Bpee (2044), 1 Byd (8455), 2 By (2155)",5408,8609 - 862 - 875 - 876 - 871,860 - 865 - 866 - 861 - 4578(3/3),4549(3/1) - 842 - 855 - 856(2/2),857 - 854,849 - 852 - 843 - 848(2/1),(KN)Külső m - 8559 - 29620 - 867(2/1) - 864(2/2) - 863 - 868,8609 - 862(2/2) - 875(2/1) - 876 - 871,5409
"1 Bpee (2044), 1 Byd (8455), 2 By (2155)",5409,860 - 865 - 866 - 861 - 4578(3/3),4549(3/1) - 842 - 855 - 856(2/2),857 - 854,849 - 852 - 843 - 848(2/1),(KN)Külső m - 8559 - 29620 - 867 - 864 - 863 - 868,8609 - 862(2/2) - 875(2/1) - 876 - 871,860 - 865 - 866 - 861 - 4578(3/3),5404
1 Bpee (2044),5411,(KN)Külső m - 847(2/1) - 844(2/2) - 853(2/1) - 4578(3/2),4549(3/2) - 874(2/2) - 873(2/1) - 878(2/2),8612(2/2) - 877(2/1) - 848(2/2),(KN)Külső m - 847(2/1) - 844(2/2) - 853(2/1) - 4578(3/2),4549(3/2) - 848(2/2),(KN)Külső m - 847(3/1) - 844(3/3) - 853(3/1),848(4/4),5411
