?ssze?ll?t?s,Szerelv?nysz.,H?tf?,Kedd - Cs?t?rt?k,P?ntek,Szombat,Vas?rnap,H?tf?
"1Bpee(20-44)(ksz. 21), 1Bbdpmz IC+ (84-91 4xx)(ksz.20),  1Apee (10-44)(ksz.18)",32201,609k3 - 602k1 - 615v - 626e (Zn),(Zn) 617v - 614e - Ni-t?l 614 - 601v,600e - 605v - 606k - Db-t?l 606v  - S26213e (Zn-Ni),5119e - 580v - 604e - KM - 603v - 2638e (Sl),2649v  - 34e - 33k1 - 618k2 (akn?s vizsg?lat),609k3
"1Bpee(20-44)(ksz. 21), 1Bbdpmz IC+ (84-91 4xx)(ksz.20),  1Apee (10-44)(ksz.18)",32202,(Zn) 617v - 614e - Ni-t?l 614 - 601v,600e - 605v - 606k - Db-t?l 606v  - S26211e (Zn-Ni),5119k - 580v - 604e - KM - 603v - 6018k,6019k3  - 34k1 - Ni-t?l 34k - 33k - 618k (akn?s vizsg?lat),609v - 602e - 615v - 626e (Zn),617v
"1Bpee(20-44)(ksz. 21), 1Bbdpmz IC+ (84-91 4xx)(ksz.20),  1Apee (10-44)(ksz.18)",32203,600e - 605v - 606k - Db-t?l 606v  - S26211e (Zn-Ni),5119k - 580v - 604e - KM - 603v - 6018k,6019k2  - 34k1 - Ni-t?l 34k - 33k - 618k (akn?s vizsg?lat),609v - 602e - 615v - 626e (Zn),(Zn) 617k - 614k - Ni-t?l 614 - 601v,600e
"1Bpee(20-44)(ksz. 21), 1Bbdpmz IC+ (84-91 4xx)(ksz.20),  1Apee (10-44)(ksz.18)",32204,5119k - 580v - 604k - KM - 603v - 6018k,6019v  - 34e - 33v - 618e (akn?s vizsg?lat),609k - 602k - 615k2 - 626k1 (Zn),(Zn) 617k - 614k - Ni-t?l 614 - 601v,600e - 605v - 606k - Db-t?l 606v  - S26211e (Zn-Ni),5119k
"1Bpee(20-44)(ksz. 21), 1Bbdpmz IC+ (84-91 4xx)(ksz.20),  1Apee (10-44)(ksz.18)",32205,6019v  - 34e - 33v - 618e  (akn?s vizsg?lat),609k - 602k - 615v - 626e (Zn),(Zn) 617k1 - 614k2 - Ni-t?l 614v - 601v,600e - 605v - 606k - Db-t?l 606v  - S26211e (Zn-Ni),5119k2 - 580v - 604e - KM - 603k1 - 6098k4,6019v
1Bpee (20-44)(ksz.33),32206,S26110e (Db-Ni) - (ksz. 24)  609k1 - 602k3,"(2,3) Karb. (4) 615e-626v Ni-ig - 6121k",6019v - (ksz. 17) 34e - 33v - 618e,(ksz. 24) 609e - 602v,S26210k (Ni-Zn) - (ksz. 33) 603v - Ni-t?l 603k4 - 6098k1,S26110e (Db-Ni) - (ksz. 24)  609k1
1Bpee (20-44)(ksz.32),32207,S26110k (Db-Ni)- (ksz. 25)  609e - 602v,"(2,3) Karb. (4) Ni-t?l 6221v Db-ig",S26011v (Db-Sl) -  (ksz. 24)  682v - 564e - 608v,Karb.,S26210k (Ni-Zn) - (ksz. 32) 603k - Ni-t?l 603k3 - 6098k2,S26110k (Db-Ni)- (ksz. 25)  609e
1Apee (10-44)(ksz.17),32208,S26110v (Db-Ni) - karb.,Karb.,(ksz. 19)(1.o.)  605k - 606k - S26213k (Zn-Ni),Karb.,S26210v (Ni-Zn) - (ksz. 17) 603e - Ni-t?l 603k2 - 6098k3,S26110v (Db-Ni) - karb.
"2Bpee (20-44)(ksz.23,22)",32211,609k2 - 602k2 - 615e - 626v (Zn),(Zn) 617e - 614v Ni-ig,"(akn?s vizsg?lat)  (ksz. 25, 24) 615e - 626v (Zn) - S26213k (Zn-Ni)",5119v - 580e - 604v - KM - 603e - 2638v (Sl),2649k2 - 34k1 - Ni-t?l 34v - Zn-t?l 34e - Csapt?l 34 - 32521 - 601e,600v
"2Bpee (20-44)(ksz.23,22)",32212,(Zn) 617e - 614v Ni-ig,Karb. - KM - T3 - akn?s vizsg?lat,5119v - 580e - 604v - KM - 603e - 6018v,6019k2 - 34k2 - Ni-t?l 34v - Zn-t?l 34e - Csapt?l 34 - 32521 - 601e,"600v - (33,32) 605e - (32,33) 606v Db-ig - 638 - 32421",32410e - 639e
