Összeállítás,Fordasor,H (Hétfő),K (Kedd),Sze (Szerda),Cs (Csütörtök),P (Péntek),Szo (Szombat),V (Vasárnap),Mire fordul
"1 Bybdtee (8055), 1 Byee (2155),2 Bpee (2044), 1 ARmz (8591)",5101,3349(3/1) - 802 - 805 - 806,807 - 804 - 803 - 818,809 - 812 - 815 - 808,28120(2/1) - (U)Karb - 28125(2/2) - (PS)Külső m - 811,800 - 817(3/1) - 814(3/3) - 801(3/1),802(3/3) - 805 - 806,807 - 804 - 803(5/1) - 818(5/5),5103
"1 Bybdtee (8055), 1 Byee (2155),2 Bpee (2044), 1 ARmz (8591)",5102,807 - 804 - 803 - 818,809 - 812 - 815 - 808,28120(2/1) - (U)Karb - 28125(2/2) - (PS)Külső m - 811,800 - 817 - 814 - 801 - 3388(3/3) [LEZÁRVA!!!],3349(3/1) - 802 - 805(3/1) - 806(3/3),807(3/1) - 804(3/3) - 803 - 818,809 - 812 - 815(3/1) - 808(3/3),5104
"1 Bybdtee (8055), 1 Byee (2155),2 Bpee (2044), 1 ARmz (8591)",5103,809 - 812 - 815 - 808,28120(2/1) - (U)Karb - 28125(2/2) - (PS)Külső m - 811,800 - 817 - 814 - 801 - 3388(3/3) [LEZÁRVA!!!],3349(3/1) - 802 - 805(3/1) - 806(3/3),807 - 804 - 803(2/1) - 818(2/2),809 - 812(3/3) - 815 - 808,28120 - (U)Karb - 28125 - 801(3/1),5105
"1 Bybdtee (8055), 1 Byee (2155),2 Bpee (2044), 1 ARmz (8591)",5104,28120(2/1) - (U)Karb - 28125(2/2) - (PS)Külső m - 811,800 - 817 - 814 - 801 - 3388(3/3) [LEZÁRVA!!!],3349(3/1) - 802 - 805 - 806,807 - 804 - 803 - 818,809 - 812 - 815(4/1) - 808(4/4),28120 - (U)Karb - 28125 - (PS)Külső m - 811,800 - 817 - 814(2/2) - 811(2/1) - 3388(4/4) [LEZÁRVA!!!],5101
"1 Bybdtee (8055), 1 Byee (2155),2 Bpee (2044), 1 ARmz (8591)",5105,800 - 817 - 814 - 801 - 3388(3/3) [LEZÁRVA!!!],3349(3/1) - 802 - 805 - 806,807 - 804 - 803 - 818,809 - 812 - 815(3/1) - 808(3/3),28120(2/1) - (U)Karb - 28125(2/2) - (PS)Külső m - 811,800 - 817(2/1) - 814(2/2) - 801,802 - 805(4/1) - 806(4/2),5102
1 ARmz (8591),5107,(PS)Tartalék,(PS)Tartalék,(PS)Tartalék,(PS)Tartalék,817(3/2) - 814(3/2) - 801(3/2),802(3/2),805(4/2) - 806(4/4),5107
1 Apee (1957),5108,(PS)Tartalék,(PS)Tartalék,(PS)Tartalék,805(3/2) - 806(3/2),805(3/2) - 806(3/2),807(3/2) - 804(3/2),815(3/2) - 808(3/2),5108
1 Apee (1957),5109,(PS)Tartalék,(PS)Tartalék,(PS)Tartalék,815(3/2) - 808(3/2),815(4/2) - 808(4/3),(PS)Tartalék,803(5/2) - 818(5/4),5109
1 Byee (2155),5111,(PS)Tartalék,(PS)Tartalék,(PS)Tartalék,805(3/3) - 806(3/1),815(4/3) - 808(4/2),807(3/3) - 804(3/1),803(5/3) - 818(5/3),5111
1 Byee (2155),5112,(PS)Tartalék,(PS)Tartalék,(PS)Tartalék,815(3/3) - 808(3/1),(PS)Tartalék,817(2/2) - 814(2/1),803(5/4) - 818(5/2),5112
