Összeállítás,Fordasor,H (Hétfő),K (Kedd),Sze (Szerda),Cs (Csütörtök),P (Péntek),Szo (Szombat),V (Vasárnap),Mire fordul
"1 ARmz (8591), 1 Bpee (2044), 3 Bd (2037.3)",41101,707(3/1) - 732(3/3) - 735(3/1) - 726(3/3) - 721,700 - 737 - 724 - 723 - 718,7009(2/1) - 712(2/2) - 715(2/1) - 706(2/2) - 701 - 7028,7029 - 702 - 705 - 734 - 733 - 728,709(4/2) - 722(4/3) - 725(4/2) - 716(4/3) - 711,7020 - 727(4/1) - 714(4/4) - 713(3/1) - 708(3/3),717(4/1) - 704(4/4) - 703(4/1) - 736(4/4),707(3/1)
"1 ARmz (8591), 1 Bpee (2044), 3 Bd (2037.3)",41102,700 - 737 - 724 - 723 - 718,7009(2/1) - 712(2/2) - 715(2/1) - 706(2/2) - 701 - 7028,7029 - 702 - 705 - 734 - 733 - 728,709(3/2) - 722(3/2) - 725(3/2) - 716(3/2) - 711,7020 - 727(4/1) - 714(4/4) - 713(4/1) - 708(4/4),717(3/1) - 704(3/3) - 703(2/1) - 736(2/2),707(4/1) - 732(4/4) - 735(4/1) - 726(4/4) - 721,700
"1 ARmz (8591), 1 Bpee (2044), 3 Bd (2037.3)",41103,7009(2/1) - 712(2/2) - 715(2/1) - 706(2/2) - 701 - 7028,7029 - 702 - 705 - 734 - 733 - 728,709(3/2) - 722(3/2) - 725(3/2) - 716(3/2) - 711,7020 - 727 - 714 - 713(2/1) - 708(2/2),717(3/1) - 704(3/3) - 703(4/2) - 736(4/3),707(4/1) - 732(4/4) - 735(3/1) - 726(3/3) - 721,700 - 737(3/1) - 724(3/3) - 723(4/2) - 718(4/3),7009(2/1)
"1 ARmz (8591), 1 Bpee (2044), 3 Bd (2037.3)",41104,7029(2/1) - 702(2/2) - 705 - 734 - 733 - 728,709(3/2) - 722(3/2) - 725(3/2) - 716(3/2) - 711,7020 - 727 - 714 - 713(2/1) - 708(2/2),717 - 704 - 703(2/1) - 736(2/2),707(4/1) - 732(4/4) - 735(5/2) - 726(5/4) - 721,700 - 737(2/1) - 724(2/2) - 723(2/1) - 718(2/2),"7009(2/1) - 712(2/2) - 715(2/1) - 706(2/2) - 701(2/1) -7028(2/2)",7029(2/1)
"1 ARmz (8591), 1 Bpee (2044), 3 Bd (2037.3)",41105,709(3/2) - 722(3/2) - 725(3/2) - 716(3/2) - 711,7020 - 727 - 714 - 713(2/1) - 708(2/2),717 - 704 - 703(2/1) - 736(2/2),707(3/1) - 732(3/3) - 735(3/1) - 726(3/3) - 721,700 - 737(3/1) - 724(3/3) - 723(3/1) - 718(3/3),7009(3/1) - 712(3/3) - 715(2/1) - 706(2/2) - 701 - 7028,7029 - 702 - 705(3/1) - 734(3/3) - 733(4/2) - 728(4/3),709(3/2)
"1 ARmz (8591), 1 Bpee (2044), 3 Bd (2037.3)",41106,7020(2/2) - 727 - 714 - 713(2/1) - 708(2/2),717 - 704 - 703(2/1) - 736(2/2),707(3/1) - 732(3/3) - 735(3/1) - 726(3/3) - 721,700 - 737 - 724 - 723 - 718,7009(3/1) - 712(3/3) - 715(3/1) - 706(3/3) - 701 - 7028,7029 - 702 - 705 - 734 - 733 - 728,709(4/1) - 722(4/4) - 725(4/1) - 716(4/4) - 711(2/2),7020(2/2)
"1 ARmz (8591), 1 Bpee (2044), 3 Bd (2037.3)",41107,717 - 704 - 703(2/1) - 736(2/2),707(3/1) - 732(3/3) - 735(3/1) - 726(3/3) - 721,700 - 737 - 724 - 723 - 718,7009(2/1) - 712(2/2) - 715(2/1) - 706(2/2) - 701 - 7028,7029 - 702 - 705(3/1) - 734(3/3) - 733(3/1) - 728(3/3),709(3/1) - 722(3/3) - 725(2/1) - 716(2/2) - 711,7020 - 727(3/1) - 714(3/3) - 713(4/2) - 708(4/3),717
1 Apee (1044),41111,709(3/1) - 722(3/3) - 725(3/1) - 716(3/3),709(3/1) - 722(3/3) - 725(3/1) - 716(3/3),709(3/1) - 722(3/3) - 725(3/1) - 716(3/3),709(3/1) - 722(3/3) - 725(3/1) - 716(3/3),709(4/1) - 722(4/4) - 725(4/1) - 716(4/4),-,713(4/1) - 708(4/4),709(3/1)
1 Apee (1044),41112,-,-,-,-,735(5/1) - 726(5/5),-,723(4/1) - 718(4/4),-
1 Apee (1044),41113,-,-,-,-,703(4/1) - 736(4/4),-,733(4/1) - 728(4/4),-
1 Bpee (2044),41114,707(3/2) - 732(3/2) - 735(3/2) - 726(3/2),707(3/2) - 732(3/2) - 735(3/2) - 726(3/2),707(3/2) - 732(3/2) - 735(3/2) - 726(3/2),707(3/2) - 732(3/2) - 735(3/2) - 726(3/2),707(4/2) - 732(4/3) - 735(5/3) - 726(5/3),-,717(4/2) - 704(4/3) - 703(4/2) - 736(4/3),707(3/2)
1 Bpee (2044),41115,-,-,-,-,709(4/3) - 722(4/2) - 725(4/3) - 716(4/2),727(4/2) - 714(4/3),705(3/2) - 734(3/2) - 733(4/3) - 728(4/2),-
1 Bpee (2044),41116,-,-,-,-,717(3/2) - 704(3/2) - 703(4/3) - 736(4/2),707(4/2) - 732(4/3),727(3/2) - 714(3/2) - 713(4/3) - 708(4/2),-
1 Bpee (2044),41117,-,-,-,-,727(4/2) - 714(4/3) - 713(4/2) - 708(4/3),717(3/2) - 704(3/2),707(4/2) - 732(4/3) - 735(4/2) - 726(4/3),-
1 Bpee (2044),41118,-,-,-,-,7009(3/2) - 712(3/2) - 715(3/2) - 706(3/2),7009(3/2) - 712(3/2),737(3/2) - 724(3/2) - 723(4/3) - 718(4/2),-
1 Bpee (2044),41119,-,-,-,-,705(3/2) - 734(3/2) - 733(3/2) - 728(3/2),709(3/2) - 722(3/2),709(4/2) - 722(4/3) - 725(4/2) - 716(4/3),-
2 Bd (2037.3),41121,707(3/3) - 732(3/1) - 735(3/3) - 726(3/1),,7009(2/2) - 712(2/1) - 715(2/2) - 706(2/1),,709(4/4) - 722(4/1) - 725(4/4) - 716(4/1),727(4/3) - 714(4/2) - 713(3/2) - 708(3/2),717(4/3) - 704(4/2) - 703(4/3) - 736(4/2),707(3/3)
2 Bd (2037.3),41122,,7009(2/2) - 712(2/1) - 715(2/2) - 706(2/1),,709(3/3) - 722(3/1) - 725(3/3) - 716(3/1),727(4/3) - 714(4/2) - 713(4/3) - 708(4/2),717(3/3) - 704(3/1) - 703(2/2) - 736(2/1),707(4/3) - 732(4/2) - 735(4/3) - 726(4/2),-
2 Bd (2037.3),41123,7009(2/2) - 712(2/1) - 715(2/2) - 706(2/1),,709(3/3) - 722(3/1) - 725(3/3) - 716(3/1),713(2/2) - 708(2/1),717(3/3) - 704(3/1) - 703(4/4) - 736(4/1),707(4/3) - 732(4/2) - 735(3/2) - 726(3/2),737(3/3) - 724(3/1) - 723(4/4) - 718(4/1),7009(2/2)
