Összeállítás,Fordasor,H (Hétfő),K(Kedd),Sze(Szerda),Cs(Csütörtök),P(Péntek),Szo(Szombat),V(Vasárnap),Mire fordul
"4 Bhv (2005.6), 1 BDt (8005.4)",1,"22710 - 2719 - 2740 - 2717 - 2716 - 2743 - 2766 - 2711 - 2738 -2771 - 2788 - 22620","22615 - 2729 - 2712 - 2727 - 2784 - 2733 - 2756 - 2783 - 2728 -2731 - 2758 - 2751","22710 - 2719 - 2740 - 2717 - 2716 - 2743 - 2766 - 2711 - 2738 -2771 - 2788 - 22620","22615 - 2729 - 2712 - 2727 - 2784 - 2733 - 2756 - 2783 - 2728 -2731 - 2758 - 2751","22710 - 2719 - 2740 - 2717 - 2716 - 2743 - 2766 - 2711 - 2738 -2771 - 2788 - 22620",,,"22615 - 2729 - 2712 - 2727 - 2784 - 2733 - 2756 - 2783 - 2728 -2731 - 2758 - 2751"
"4 Bhv (2005.6), 1 BDt (8005.4)",2,"22615 - 2729 - 2712 - 2727 - 2784 - 2733 - 2756 - 2783 - 2728 -2731 - 2758 - 2751","22710 - 2719 - 2740 - 2717 - 2716 - 2743 - 2766 - 2711 - 2738 -2771 - 2788 - 22620","22615 - 2729 - 2712 - 2727 - 2784 - 2733 - 2756 - 2783 - 2728 -2731 - 2758 - 2751","22710 - 2719 - 2740 - 2717 - 2716 - 2743 - 2766 - 2711 - 2738 -2771 - 2788 - 22620","22615 - 2729 - 2712 - 2727 - 2784 - 2733 - 2756 - 2783 - 2728 -2731 - 2758 - 2751",,,"22710 - 2719 - 2740 - 2717 - 2716 - 2743 - 2766 - 2711 - 2738 -2771 - 2788 - 22620"
"5 Bhv (2005.6), 1 BDt (8005.4)",3,2610(2/2) - 2849 - 2852 - 2847,2610(2/1) - 2617,2610(2/2) - 2849 - 2852 - 2847,2610(2/1) - 2617,2610(2/2) - 2849 - 2852 - 2847 - 2816 - 2823 - 2858 - 22618,,2849 - 2859,2610(2/1) - 2617
"5 Bhv (2005.6), 1 BDt (8005.4)",4,2610(2/1) - 2617,2610(2/2) - 2849 - 2852 - 2847,2610(2/1) - 2617,2610(2/2) - 2849 - 2852 - 2847,2610(2/1) - 2617 - 2828 - 2678,2611,6020 - 26322 - 32414 - 16303,2610(2/2) - 2849 - 2852 - 2847
"6 Bmx (2105), 1 Bybdtee (8055)",5,2619 - 2720 - 2749 - 2736 - 2763 - 2786 - 22610,22625 - 27028 - 7049 - 2838 - 22612,2619 - 2720 - 2749 - 2736 - 2763 - 2786 - 22610,22625 - 27028 - 7049 - 2838 - 22612,2619 - 2720 - 2749 - 2736 - 2763 - 2786 - 22610,,,22625 - 27028 - 7049 - 2838 - 22612
"6 Bmx (2105), 1 Bybdtee (8055)",6,22625 - 27028 - 7049 - 2838 - 22612,2619 - 2720 - 2749 - 2736 - 2763 - 2786 - 22610,22625 - 27028 - 7049 - 2838 - 22612,2619 - 2720 - 2749 - 2736 - 2763 - 2786 - 22610,22625 - 27028 - 7049 - 2838 - 22612,,,2619 - 2720 - 2749 - 2736 - 2763 - 2786 - 22610
"6 Bhv (2005.6), 1 Bybdtee (8055)",7,2879 - 2836 - 22614,2879 - 2836 - 22614,2879 - 2836 - 22614,2879 - 2836 - 22614,2879 - 2836 - 22614,,,2879 - 2836 - 22628
"5 Bhv (2005.6), 1 BDt (8005.4)",8,2649 - 2638,2649 - 2638,2649 - 2638,2649 - 2638,2649 - 2638,2649 - 2848 - 22626,2649 - 2848 - 22626,2649 - 2638
"2 Bhv (2005.6), 1 BDt (8005.4)",9,(SL)Karb - 7615 - 7616 - 7633 - 7618 - 3361,3310 - 22613 - 2612 - 22617 - 2614 - 7623 - 7636 - 7611,7612 - 7613 - 7626 - 7643 - 7628,(SL)Karb - 7615 - 7616 - 7633 - 7618 - 3361,3310 - 22613 - 2612 - 22617 - 2614 - 7623 - 7636 - 7611,,,7612 - 7613 - 7626 - 7643 - 7628
"2 Bhv (2005.6), 1 BDt (8005.4)",10,3310 - 22613 - 2612 - 22617 - 2614 - 7623 - 7636 - 7611,7612 - 7613 - 7626 - 7643 - 7628,(SL)Karb - 7615 - 7616 - 7633 - 7618 - 3361,3310 - 22613 - 2612 - 22617 - 2614 - 7623 - 7636 - 7611,7612 - 7613 - 7626 - 7643 - 7628,,,(SL) Karb - 7615 - 7616 - 7633 - 7618
"2 Bhv (2005.6), 1 BDt (8005.4)",11,7612 - 7613 - 7626 - 7643 - 7628,(SL)Karb - 7615 - 7616 - 7633 - 7618 - 3361,3310 - 22613 - 2612 - 22617 - 2614 - 7623 - 7636 - 7611,7612 - 7613 - 7626 - 7643 - 7628,(SL)Karb - 7615 - 7616 - 7633 - 7618,22629 - 2678,22629 - 2678 - 3361,3310 - 22613 - 2612 - 22617 - 2614 - 7623 - 7636 - 7611
"6 Bhv (2005.6), 1 BDt (8005.4)",12,23612 - 3629 - 3660 - 3627 - 3646 - 23618 - 3341,3320 - (SL)Karb,3369 - 3614 - 23613 - 3636 - 23623 - 3396 - 3351,3610 - 3619 - 23620 - 3617 - 3626 - 23615,23612 - 3629 - 3660 - 3627 - 3646 - 23618,,3341,3610 - 3619 - 23620 - 3617 - 3626 - 23615
"6 Bhv (2005.6), 1 BDt (8005.4)",13,3320 - (SL)Karb,3369 - 3614 - 23613 - 3636 - 23623 - 3396 - 3351,3610 - 3619 - 23620 - 3617 - 3626 - 23615,23612 - 3629 - 3660 - 3627 - 3646 - 23618,(SL)Karb,,,3369 - 3614 - 23613 - 3636 - 23623 - 3396 - 3351
