Összeállítás,Fordasor,H (Hétfő),K (Kedd),Sze (Szerda),Cs (Csütörtök),P (Péntek),Szo (Szombat),V (Vasárnap),Mire fordul
"1 Apmz (1071), 1 8491, 2 Bpmz (2071)",6101,927 -  924 - 923 - 928,929 -  310,311 - 926,937 - 934 - 921,922 - 925 - 9318,989 - 312 - 313 - 938,927 - 924 - 923(2/2) - 928(2/1)(SM) - (SM)928,929
"1 Apmz (1071), 1 8491, 2 Bpmz (2071)",6102,929 - 310,311 - 926,937 - 934 - 921,922 - 925 - 9318,989 - 312 -  313 - 938,927(2/1) - 924(2/2) - 923 - 928,929 - 310,311
"1 Apmz (1071), 1 8491, 2 Bpmz (2071)",6103,311 -  926,937 - 934 - 921,922 - 925 - 9318,989 - 312 - 313 - 938,927(3/3) - 924 - 923(3/3) - 928(3/1)(SM) - (SM)928,929 - 310,311 - 926,937
"1 Apmz (1071), 1 8491, 2 Bpmz (2071)",6104,937 - 934 - 921,922 - 925 - 9318,989 - 312 - 313 - 938,927 - 924 - 923 -  928,929 - 310(3/1)(SM) - (SM)310,311 - 926,937 -  934 - 921,922
"1 Apmz (1071), 1 8491, 2 Bpmz (2071)",6105,922 - 925 - 9318,989 - 312 - 313 - 938,927 - 924 - 923 - 928,929 - 310,311(SM) - (SM)311(3/3) - 926(3/1),937 - 934 - 921,922 - 925(2/2) - 9318(2/1),989(2/2)
"1 Apmz (1071), 1 8491, 2 Bpmz (2071)",6106,989(2/2) -  312(2/1)(SM) - (SM)312 - 313 - 938,927 -  924 - 923 - 928,929 -  310,311 - 926,937 - 934 - 921,922 - 925 - 9318,989 - 312 - 313(SM) - (SM)313(3/1) - 938(3/3),927
1 Bpm (2070),6121,(SM)Tartalék,(SM)Tartalék,(SM)Tartalék,(SM)Tartalék,(SM)311(3/1) - 926(3/3),927(2/2) - 924(2/1),923(2/1) - 928(2/2)(SM),(SM)Tartalék
1 Bpm (2070),6122,(SM)Tartalék,(SM)Tartalék,(SM)Tartalék,(SM)Tartalék,(SM)311(3/2) - 926(3/2),(SM)Tartalék,(SM)Tartalék,(SM)Tartalék
1 Bpm (2070),6123,(SM)Tartalék,(SM)Tartalék,(SM)Tartalék,(SM)Tartalék,923(3/1) -  928(3/3)(SM),(SM)Tartalék,(SM)313(3/2) - 938(3/2),(SM)Tartalék
1 Bpm (2070),6124,(SM)Tartalék,(SM)Tartalék,(SM)Tartalék,(SM)Tartalék,923(3/2) - 928(3/2)(SM),(SM)Tartalék,(SM)313(3/3) - 938(3/1),(SM)Tartalék
1 Bpm (2070),6125,949(2/1) - 312(2/2)(SM),(SM)Tartalék,(SM)Tartalék,(SM)Tartalék,927(3/1) - 310(3/3)(SM),(SM)Tartalék,925(2/1) - 9318(2/2),(SM)Tartalék
1 Bpm (2070),6126,(SM)Tartalék,(SM)Tartalék,(SM)Tartalék,(SM)Tartalék,927(3/2) - 310(3/2)(SM),(SM)Tartalék,(SM)Tartalék,(SM)Tartalék
1 Bpm (2070),6127,9519(2/1),(SM)Tartalék,(SM)Tartalék,(SM)Tartalék,905(3/1) - 956(3/3) - 951(2/1),950(2/2) - 967(2/1) - 906(2/2),903(3/1) - 958(2/2),-
1 Bpm (2070),6128,9040(2/2),(SM)Tartalék,(SM)Tartalék,(SM)Tartalék,915(3/1) - 966(2/2) - 9521(4/3) [Lezárva!],9520(2/2) - 957(3/1) - 914(3/3),909(3/1) - 954(3/3) - 953(3/1) - 918(3/3) - 9028(3/3),9040(2/2)
