Összeállítás,Szerelvénysz.,Hétfő,Kedd-Csütörtök,Péntek,Szombat,Vasárnap,Hétfő
"1 Bybdtee (.800), 1 Apee, 2 Bpee",5101-,IC 809 - IC 812 - IC 815 - IC 808,28120k - Karbantartás - 28125k - Külső mosás - IC 801,23616v - 3669e - IC 802 - IC 805e - IC 806v,IC 807 - IC 804 - IC 803 - IC 818,IC 809e - IC 812v - IC 815e - IC 808v,28120k - Karb. - ...
"1 Bybdtee (.800), 1 Apee, 2 Bpee",-02-,28120k - Karbantartás - 28125k - Külső mosás - IC 801,23616v - 3669e - IC 802 - IC 805 - IC 806,IC 807 - IC 804 - IC 803 - IC 818,IC 809e - IC 812v - IC 815e - IC 808v,IC 817 - IC 814 - IC 811,23616v - 3669e - IC 802 - ...
"1 Bybdtee (.800), 1 Apee, 2 Bpee",-03-,23616v - 3669e - IC 802 - IC 805 - IC 806,IC 807 - IC 804 - IC 803 - IC 818,IC 809e - IC 812v - IC 815e - IC 808v,IC 805 - IC 806,IC 807e - IC 804v - IC 803e - IC 818v,IC 807 - ...
"1 Bybdtee (.800), 1 Apee, 2 Bpee",-5104,IC 807 - IC 804 - IC 803 - IC 818,IC 809 - IC 812 - IC 815 - IC 808,Tartalék (Ps) - IC 801,IC 800 - IC 817 - IC 814 - IC 801,IC 802 - IC 805 - IC 806,IC 809 - ...
"1 Bybdtee, 1 Apee",5105,IC 800v - IC 817e - IC 814v - IC 811e,IC 800v - IC 817e - IC 814v - IC 811e,IC 800v - IC 817e - IC 814v - IC 811e,IC 802v - 28126v - Karbantartás - 28127e - IC 811e,IC 800v - IC 801e,IC 800v - ...
1 By,5109,Tartalék (Ps),Tartalék (Ps),IC 805v - IC 806e,IC 809v - IC 812e - IC 815v - IC 808e,IC 809v - IC 812e - IC 815v - IC 808e,Tartalék (Ps)
1 By,5110,Tartalék (Ps),Tartalék (Ps),IC 809v - IC 812e - IC 815v - IC 808e,Tartalék (Ps),IC 807v - IC 804e - 803v - IC 818e,Tartalék (Ps)
2 Bpee,5111-,IC 800e - IC 817v - IC 814e,28120e - Karbantartás - 28125v - Külső mosás - IC 811v,20340 - IC 1862k - IC 1875k - IC 1876<3> - IC 1871<2>,18610v - IC 1867k - IC 1864<3> - IC 1863<2> - IC 1868<3>,IC 1877<2> - IC 1874<3> - IC 1873<2> - IC 1878k,18619e - IC 200<2> - ...
2 Bpee,-12-,28120e - Karbantartás - 28125v - Külső mosás - IC 811v,20340 - IC 1862k - IC 1875k - IC 1876k - IC 1871k,18610v - IC 1867k - IC 1864k - IC 1863k - IC 1868k,IC 1877k - IC 1874k - IC 1873k - IC 1878k,18619e - IC 200<2> - Bs - IC 860k - IC 1865k - IC 1866k - IC 1861k,Tartalék (B) - 20432
2 Bpee,-13-,20340 - IC 1862k - IC 1875k - IC 1876k - IC 1871k,18610v - IC 1867k - IC 1864k - IC 1863k - IC 1868k,IC 1877k - IC 1874k - IC 1873k - IC 1878k,18619e - IC 200<2> - Bs - IC 860k - IC 1865k - IC 1866k - IC 1861k,Tartalék (B) - 20432,IC 800e - ...
2 Bpee,-14-,18610v - IC 1867k - IC 1864k - IC 1863k - IC 1868k,IC 1877k - IC 1874k - IC 1873k - IC 1878k,18619e - IC 200<2> - Bs - IC 860k - IC 1865k - IC 1866k - IC 1861k,Tartalék (B) - 20432,IC 800e - Tartalék (Ps),28120e - Karb. - ...
