Összeállítás,Szerelvénysz.,Hétfő,Kedd-Csütörtök,Péntek,Szombat,Vasárnap,Hétfő
1 Ap (10-44) 1 Bp (20-44) 3 Bd (20-37 300),41101,727-724-723,700-737-734-733-7028,7029-712-715-716v-711,702-705-706-701,7020-717-714-713-718,709
1 Ap (10-44) 1 Bp (20-44) 3 Bd (20-37 300),41102,700-737-734-733-7028,7029-712-715-716-711,702-705-706-701,7020-717-714-713-718,709-732-735-736,707
1 Ap (10-44) 1 Bp (20-44) 3 Bd (20-37 300),41103,7029-712-715-716-711,702-705-706-701,7020-717-714-713-718,709-732-735-736,707-704-703-708,7009
1 Ap (10-44) 1 Bp (20-44) 3 Bd (20-37 300),41104,702-705-706-701,7020-717-714-713-718,709-732-735-736,707-704-703-708,727-724-723-728,727
1 Ap (10-44) 1 Bp (20-44) 3 Bd (20-37 300),41105,7020-717-714-713-718,709-732-735-736-karbantartás,707-704-703-708,7009-722-725-726,7009-722-725-726-721,700
1 Ap (10-44) 1 Bp (20-44) 3 Bd (20-37 300),41106,709-732-735-736-karbantartás,707-704-703-708,727-724-723-728,727-724-723,700-737-734-733e-7028v,7029
1 Ap (10-44) 1 Bp (20-44) 3 Bd (20-37 300),41107,707-704-703-708,7009-722-725-726,7009-722-725-726-721,700-737-734-733-7028,7029-712-715-716-711,702
1 Ap (10-44) 1 Bp (20-44) 3 Bd (20-37 300),41108,7009-722-725-726,727-724-723,700-737-734-733-7028,7029-712-715-716-711,702-705-706-701,7020
1 Bd (20-37 300),41121,707-704-703-708,7009-722-725-726,7009-722-725-726,727-724,735-736,707
1 Bd (20-37 300),41122,7009-722-725-726,715-716,713-718,709-732-735-736,703-708,7009
1 Bd (20-37 300),41123,715-716,713-718,709-732-735-736,707-704-703-708,725-726,715
1 Bd (20-37 300),41124,7020-717-714-713-718,709-732-735-736,707-704-703-708,7009-722-725-726,705-706-701,7020
1 Bd (20-37 300),41125,709-732-735-736,707-704-703-708,705-706-701,7020-717-714-713-718,713-718,709
1 Bd (20-37 300),41126,707-704-703-708,7009-722-725-726,7009-722-725-726,,703-708,7009
1 Bd (20-37 300),41127,7009-722-725-726,715-716,709-732-735-736,707-704-703-708,725-726,715
1 Bd (20-37 300),41128,715-716,709-732-735-736,707-704-703-708,727-724,713-718,709
1 Bd (20-37 300),41129,709-732-735-736,707-704-703-708,713-718,,735-736,707
1 Bd (20-37 300),41130,702-705-706,705-706,705-706-701,7020-717-714,715-716-711,702
1 Bd (20-37 300),41131,7009-722-725-726,7009-722-725-726,7009-722-725-726,705-706,725-726,7009
1 Bd (20-37 300),41132,715-716,715-716,737-734-733-7028,7029-712-715-716,715-716,715
1 BDbh (82-28) 2 Bd (20-37 300) 1 Bp (20-44),41133,1787-1786,1787-1786,1787-1786,1787-1786,1787-1786,1787
1 BDbh (82-28),41134,,,1787e-1786v,1787e-1786v,1787e-1786v,
1 BDbh (82-28),41151,7027-7022-7013-7018,7027-7022-7013-7018,7027-7022-7013-7018,7027-7022-7013-7018,7027-7022-7013-7018,7027
1 Bd (20-37 300),41152,7010-27025-7016-7011,7010-27025-7016-7011,7010-27025-7016-7011,7010-7037-7016-7011,7010-7037-7016-7011,7010
