Összeállítás,Szerelvénysz.,Hétfő,Kedd-Csütörtök,Péntek,Szombat,Vasárnap,Hétfő
1 ABDpmot,1551-,28322v - 8319 - 8320 - 8307 - 8304 - 8395 - 8396 - 8301 - ÜV,8300 - 8399 - ÜV - Karbantartás - 8306 - 8393 - ÜV - 34121,"34110 - 34119 - 34112 - 34127 - 34132 - 34137 - 34114 - 34115 - 34124 -34125 - 34116 - 34123 - 34136 - 34143 - 34118 - 34111 - 34128 - ÜV",28720e - 8849 - 38342 - 38347 - 9604 - 9603 - ÜV,8905 - 8906 - 14880 - 8848 - 28721e,Karb. - 38410 - ...
1 ABDpmot,-52-,8300 - 8399 - ÜV - Karbantartás - 8306 - 8393 - ÜV - 34121,"34110 - 34119 - 34112 - 34127 - 34132 - 34137 - 34114 - 34115 - 34124 -34125 - 34116 - 34123 - 34136 - 34143 - 34118 - 34111 - 34128 - ÜV",28720v - 8839e - 38342 - 38347 - 9604 - 9603 - ÜV - 8961,8919 - 9807 - 8992 - 8126e V-ig! - 8126 - 8121 - ÜV,8907 - 8904 - 8993 - ÜV,8900 - ...
1 ABDpmot,-53-,"34110 - 34119 - 34112 - 34127 - 34132 - 34137 - 34114 - 34115 - 34124 -34125 - 34116 - 34123 - 34136 - 34143 - 34118 - 34111 - 34128 - ÜV",28720v - 8839e - 38342 - 38347 - 9604 - 9603 - ÜV,8907 - 8904 - 8993 - ÜV,8900 - 8905 - 8906 - ÜV - 38828,38819 - 8110 - 8127 - ÜV - 8114 - 8113 - 8126v V-ig! - 38818 - 38811,28110 - 8149 - ...
1 ABDpmot,-54-,28720v - 8839e - 38342 - 38347 - 9604 - 9603 - ÜV,8907 - 8904 - 8993 - ÜV,8900 - 8905 - 8906 - ÜV - 38828,38829 - V-tól! 38829v - 8112 - 8115 - ÜV - 8953,18960 - 8957 - 8954 - 8955 - 8956 - 8963 - 8958 - ÜV - 38838,38819 - ...
1 ABDpmot,-55-,8907 - 8904 - 8993 - ÜV,8900 - 8905 - 8906 - ÜV,8959 - 8952 - Karbantartás - 8995 - 8996 - ÜV,8957 - 8954 - 8955 - 8956 - 8963 - 8958 - ÜV - 38838,38829 - V-tól! 38829v - 8112 - 8115 - ÜV - 8903 - 9808 - ÜV - Külső mosás,28910 - 8919 - ...
1 ABDpmot,-56-,8900 - 8905 - 8906 - ÜV,8959 - 8952 - Karbantartás - 8114 - 8113 - 38836 - 38823 - 38818 - 38811,28110 - 8149 - 8140 - 8159 - 8117 - 8122 - 8125 - ÜV - 8116 - 8111 - 8951,8950 - 8110 - 8127 - ÜV - 8903 - 9808 - ÜV - Külső mosás,8910 - 8122 - 8125 - 8126e V-ig! - 8126 - 8121 - ÜV - 8961,8950 - ...
1 ABDpmot,-57-,8959 - 8952 - Karbantartás - 8114 - 8113 - 38836 - 38823 - 38818 - 38811,28110 - 8149 - 8140 - 8159 - 8117 - 8122 - 8125 - ÜV - 8116 - 8111 - 38828,38829 - 8112 - 8115 - ÜV - 8903 - 9808 - ÜV - Külső mosás,8910 - 8122 - 8125 - ÜV - 8116 - 8111 - 8951,8919 - 9807 - 8992 - ÜV - 8116 - 8111 - 38828,38829 - ...
1 ABDpmot,-58-,28110 - 8149 - 8140 - 8159 - 8117 - 8122 - 8125 - ÜV - 8116 - 8111 - 38828,38829 - 8112 - 8115 - ÜV - 8903 - 9808 - ÜV - Külső mosás,28910 - 8919 - 9807 - 8992 - 8126 - 8121 - ÜV,8907 - 8904 - 8993 - ÜV,8900 - ÜV - Karbantartás - 8953,8960 - ...
1 ABDpmot,-59-,38829 - 8112 - 8115 - ÜV - 8903 - 9808 - ÜV - Külső mosás,28910 - 8919 - 9807 - 8992 - 8126 - 8121 - ÜV - 8961,8950 - 8957 - 8954 - 8124 - 8123 - 8118 - 8131 - ÜV,8959 - 8952 - Karbantartás - 8124 - 8123 - 8118 - 8131 - ÜV,"28921 - 38212 - 38215 - 38214 - 38225 - 38224 - 38213 - 38216 -38253 - 38226 - 38211 - 38218 - 38221 - 38228",38219 - ...
1 ABDpmot,-60-,28910 - 8919 - 9807 - 8992 - 8126 - 8121 - ÜV - 8961,8950 - 8957 - 8954 - 8955 - 8956 - 8963 - 8958 - ÜV - 38838,38819 - 8110 - 8127 - ÜV - Karbantartás - 8953,"18960 - 28921 - 38212 - 38215 - 38214 - 38225 - 38224 - 38213 - 38216 -38223 - 38226 - 38211 - 38218 - 38221 - 38228",38229 - 38220 - 38217 - 8072 - ÜV - 8124 - 8123 - 8118 - 8131 - ÜV,8997 - ...
