Összeállítás,Szerelvénysz.,Hétfő,Kedd-Csütörtök,Péntek,Szombat,Vasárnap,Hétfő
"5Bhv, 1 BDt",1,2629-2812-2637-2814-2635-2816-2643-2818-2641-23332v,22619-7030-7049-23334v,22625-2839-2822-2647-2824-2645-2826-2653-2828-2651,14262e,,22613-2817-2652-2825-23334e
"5Bhv, 1 BDt",2,22619-7030-7049-23334v,22625-2839-2822-2647-2824-2645-2826-2653-2828-2651- 23332e,22613-2817-2652-2825-23334e,,,2629-2812-2637-2814-2635-2816-2643-2818-2641-23332v
"5Bhv, 1 BDt",3,22625-2839-2822-2647-2824-2645-2826-2653-2828-2651- 23332e,22613-2817-2652-2825-23334e,2629-2812-2637-2814-2635-2816-2643-2818-2641,14262v,,22619-7030-7049-23334v
"5Bhv, 1 BDt",4,22613-2817-2652-2825-23334e,2629-2812-2637-2814-2635-2816-2643-2818-2641-23332v,22619-7030-7049-23334v,,,22625-2839-2822-2647-2824-2645-2826-2653-2828-2651- 23332e
"3 Bhv,1 BDt",5,6110-6199-6194-6123-2678,6110-6199-6194-6123-2678,6110-6199-6194-6123-2678,,,6110-6199-6194-6123-2678
5Bhv,6,2619-2676v,2669-2676e,22617-2859-2686v,,,2619-2676v
5Bhv,7,2669-2676e,22617-2859-2686v,2619-2676v,,,2669-2676e
5Bhv,8,22617-2859-2686v,2619-2676v,2669-2676e,,,22617-2859-2686v
"4Bmx, 1BDt húzva",9,2849- 7028e,7039-2686e,2849-716e,Szeged tartalék,733v-7028e,7039-2686e
"4Bmx, 1BDt húzva",10,7039-2686e,2849-7028e,7039-2686e,1972-1973,1972-1973,2849- 7028e
"2Bhv,1BDt",11,7612-7615-7616-7633-7618,karbantartás 22629-2614-7623-7636-7611,7612-7615-7616-7633-7618,,,karbantartás 22629-2614-7623-7636-7611
"2Bhv,1BDt",12,karbantartás 22629-2614-7623-7636-7611,7612-7615-7616-7633-7618,karbantartás 22629-2614-7623-7636-7611,,,7612-7615-7616-7633-7618
2 Bhv,13,7439-7438e,7439-7438e,7439-7438k,7439-7438k,7439-7438,7439-...
"5Bhv,1BDt",14,3319-3330-3357-3314-3345-3336-3311-3348-3351,3610-3619-23620-3617-3026-23031-3358,karbantartás 8 Bhv 14641,Déli erősítésre felhasznál,Déli erősítésre felhasznál-14460,karbantartás
"5Bhv,1BDt",15,3610-3619-23620-3617-3026-23031-3358,karbantartás,3319-3330-3357-3314-3345-3336-3311-3348-3351,,3376-3351,3610-3619-23620-3617-3026-23031-3358
"5Bhv,1BDt",16,karbantartás,3319-3330-3357-3314-3345-3336-3311-3348-3351,3610-3619-23620-3617-3026-23031-3358,,3331-3378,3319-3330-3357-3314-3345-3336-3311-3348-3351
5Bhv,17,23626-3627-3048-3051,23626-3627-3048-3051,23626-3627-3616-23615 -3386,,3 Bhv7410e-741e-3358v,3359-3326v
5Bhv,18,3359-3326v,·3359e μ¶3359-3326,3359-3048-3051,,,5 Bhv 23626-3627-3048-3051
5Bhv,19,3317-3614-23613-3366,3317-3614-23613-3366,3317-3614-23613-3366,,,3317-3614-23613-3366
"2Bhv,1BDt",20,5710-5717-5732-5715-5744-5723-5746-5721- 5748,5739-5722-5745-5726-5743-5728-5741,5710-5717-5732-5715-5744-5723-5746-5721- 5748,,,5739-5722-5745-5726-5743-5728-5741
"2Bhv,1BDt",21,5739-5722-5745-5726-5743-5728-5741,5710-5717-5732-5715-5744-5723-5746-5721- 5748,5739-5722-5745-5726-5743-5728-5741,,,5710-5717-5732-5715-5744-5723-5746-5721- 5748
"2Bhv,1BDt",22,5719-5720-5727-5734-5713-5736-5711-5738,5719-5720-5727-5734-5713-5736-5711-5738,5719-5720-5727-5734-5713-5736-5711-5738,,,5719-5720-5727-5734-5713-5736-5711-5738
"2Bhv,1BDt",23,5729-5712-5737-5714-5735-5716-5733-5718-5731,5520-5529-5530-5517-5512-5537-5522-5515-5524-5525-5534-5523-5516-5533-5526-5511,5097-5092-5087-5084-5085-5086-5093-5096-5083-5098-5518-5541-5528-5551,,,"5049 -25020-35610-35619-35620-35617-35612-35627-35622-35637-35614-35615-35624-35625-35616-35613-35626-35623-35636-35633-35646-35643-35618-35611-25021-5758"
"2Bhv,1BDt",24,5520-5529-5530-5517-5512-5537-5522-5515-5524-5525-5534-5523-5516-5533-5526-5511,5097-5092-5087-5084-5085-5086-5093-5096-5083-5098-5518-5541-5528-5551,"5049 -25020-35610-35619-35620-35617-35612-35627-35622-35637-35614-35615-35624-35625-35616-35613-35626-35623-35636-35633-35646-35643-35618-35611-25021-5758",,,5729-5712-5737-5714-5735-5716-5733-5718-5731
"2Bhv,1BDt",25,5097-5092-5087-5084-5085-5086-5093-5096-5083-5098-5518-5541-5528-5551,"5049 -25020-35610-35619-35620-35617-35612-35627-35622-35637-35614-35615-35624-35625-35616-35613-35626-35623-35636-35633-35646-35643-35618-35611-25021-5758",5729-5712-5737-5714-5735-5716-5733-5718-5731,,,5520-5529-5530-5517-5512-5537-5522-5515-5524-5525-5534-5523-5516-5533-5526-5511
"2Bhv,1BDt",26,"5049 -25020-35610-35619-35620-35617-35612-35627-35622-35637-35614-35615-35624-35625-35616-35613-35626-35623-35636-35633-35646-35643-35618-35611-25021-5758",5729-5712-5737-5714-5735-5716-5733-5718-5731,5520-5529-5530-5517-5512-5537-5522-5515-5524-5525-5534-5523-5516-5533-5526-5511,,,5097-5092-5087-5084-5085-5086-5093-5096-5083-5098-5518-5541-5528-5551
2Bhv,27,7730-7709-7734-7723-7708-7741,7729-7700-7715-7736-7731,7740-7705-7726-7721-7738,7720-7749-17702-17717-7714-7703-7728-7751,7739-7722-7737-7734-7723-7708-7451e,7429e
2Bhv,28,7729-7700-7715-7736-7731,7740-7705-7726-7721-7738,7720-7749-7732-7725-7714-7703-7728-7751,7739-7722-7737-7734-7723-7708,7709v-7732-7725-7714-7703-7728-7451k,7429v
2Bhv,29,7740-7705-7726-7721-7738,7720-7749-7732-7725-7714-7703-7728-7751,7739-7722-7737-7704-7443-7436-7433,karbantartás-7438v,7429-7410v-7727-17712-7735-7706-7701-7748e,7730
2Bhv,30,7720-7749-7732-7725-7714-7703-7728-7751,7739-7722-7737-7704-7443-7436-7433,karbantartás-7438v,7429-7410-7727-17712-7735-7706-7701-7748,7729-7700-17707-7724-7715-7736-7731-7748v,7729
2Bhv,31,7739-7722-7737-7704-7443-7436-7433,karbantartás-7438v,7429-7410-7727-7724-7735-7706-7701-7748,7729-7700,7709e-723v-728e,7740
2Bhv,32,7429e-karbantartás-7438v,7429-7410-7727-7724-7735-7706-7701-7748,7730-7709-7734-7723-7708-7741-27728,7709-7732-7725-7726-7721-7738,7720-7749-17702-17717-7726-7721-7738,7720
2Bhv,33,7429v-7410e-7727-7724-7735-7706-7701-7748,7730-7709-7734-7723-7708-7741,7729-7700-7715-7736-7731,7740-17707-7724-7715-7736-7731,7740-743v-748e-7751,7739
"5Bhv,1BDt",34,3379-3328,3379-3328,3379-3328,,,3379-3328
"4Bhv,1BDt",35,3349-3044-23023-3036-3011-23021,3020-23035-3386,3349-3044-23023-3036-3011-23021-3368,,,3349-3386
"4Bhv,1BDt",36,3020-23035-3386,3349-3044-23023-3036-3011-23021,3020-23035,,566e -20231,"4 Bhv,1 BDt 3020-23035-3386"
1 Bhv,37,652er-...-568er,652er-...-568er,SU tartalék,SU tartalék,3358e,karb
