Összeállítás,Szerelvénysz.,Hétfő,Kedd-Csütörtök,Péntek,Szombat,Vasárnap,Hétfő
"1 Apmz(10-71)1Bbdpmz(84-91)2 Bpmz (20-71),",6101-,IC917  - IC914  - IC915  - 9318,IC949 - IC312  - IC313  - IC928,IC927 - IC924  - IC913v - IC918e - Sm - IC918,IC919 - IC310,IC311 - IC916 - IC911,IC912<1> - karbt.
"",-02-,IC949 - IC312  - IC313  - IC928,IC927 - IC924  - IC913 - IC918,IC919 - IC310e - Sm - IC310,IC311 - IC916 - IC911,IC912 - karbantartás,IC917   - ...
"",-03-,IC927 - IC924  - IC913 - IC918,IC919 - IC310,IC311  - Sm-től! IC311v - IC916e - IC911,IC912 - karbantartás,IC917  - IC914  - IC915v - 9318,IC949e - ...
"",-04-,IC919 - IC310,IC311 - IC916 - IC911,IC912 - karbantartás,IC917e - IC914v - IC915  - 9318,IC949 - IC312  - IC313 - Sm - IC313e - IC928v,IC927  - ...
"",-05-,IC311 - IC916 - IC911,IC912 - karbantartás,IC917e - IC914  - IC915  - 9318,IC949 - IC312  - IC313  - IC928,IC927  - IC924  - IC913v - IC918e - Sm - IC918,IC919  - ...
"",-6106,IC912<1> - karbantartás,IC917  - IC914  - IC915  - 9318,IC949 - IC312  - IC313  - IC928,IC927  - IC924  - IC913  - IC918,IC919  - IC310,IC311 - ...
1Bpmee(20-70),6121,Tartalék (Sm),Tartalék (Sm),Sm-től! IC311e - IC916v,IC917v - IC914e,IC913e - IC918vSm-ig!,Tartalék (Sm)
1Bpmee(20-70),6122,Tartalék (Sm),Tartalék (Sm),Sm-től! IC311k- IC916k,Tartalék (Sm),Tartalék (Sm),Tartalék (Sm)
2Bpmee(20-70),6123,Tartalék (Sm),Tartalék (Sm),IC913e - IC918vSm-ig!,Tartalék (Sm),Sm-től! IC313k - IC928k,Tartalék (Sm)
1Bpmee(20-70),6124,Tartalék (Sm),Tartalék (Sm),IC913k - IC918kSm-ig!,Tartalék (Sm),Sm-től! IC313v - IC928e,Tartalék (Sm)
1Bpmee(20-70),6125,IC912<2> - ...,Tartalék (Sm),IC917k - IC310vSm-ig!,Tartalék (Sm),IC915e,IC912<2> - ...
1Bpmee(20-70),6126,Tartalék (Sm),Tartalék (Sm),IC917v - IC310kSm-ig!,Tartalék (Sm),Tartalék (Sm),Tartalék (Sm)
"1 ABmz (31-90),3 Bmz (21-90)",GYSEV,IC937 - IC942 - IC945 - IC936 -IC931,IC932 - IC935 - IC944 -IC943 - IC938,IC947 - IC934 - IC933e - IC946v,IC937 - IC942 - IC945 - IC936 -IC931,IC932 - IC935 - IC944 - IC943e - IC938v,IC947 - ...
"",GYSEV,IC932 - IC935 - IC944 -IC943 - IC938,IC947 - IC934 - IC933 - IC946,IC937 - IC942 - IC945e - IC936v -IC931,IC932 - IC935 - IC944 -IC943 - IC938,IC947 - IC934 - IC933e - IC946v,IC937 -...
"",GYSEV,IC947 - IC934 - IC933 - IC946,IC937 - IC942 - IC945 - IC936 -IC931,IC932 - IC935 - IC944 -IC943 - IC938,IC947 - IC934 - IC933 - IC946,IC937 - IC942 - IC945e - IC936v -IC931,IC932 - ...
